id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
260,płatki owsiane;ser żółty,0.043,jabłka,0.253,0.009,0.205,0.807
261,mleko;czekolada gorzka,0.041,mąka,0.120,0.004,0.106,0.884
262,mąka;czekolada gorzka,0.009,mleko,0.636,0.004,0.500,0.786
263,cytryny;ziemniaki,0.016,ser żółty,0.331,0.004,0.258,0.780
264,cytryny;ser żółty,0.022,ziemniaki,0.217,0.004,0.186,0.859
265,ogórki;mąka,0.026,ryż,0.170,0.003,0.125,0.736
266,cukierki;marchew,0.014,makaron pełnoziarnisty,0.168,0.002,0.167,0.989
267,cukierki;makaron pełnoziarnisty,0.014,marchew,0.216,0.002,0.167,0.771
268,jabłka;cebula,0.045,pomidory,0.296,0.009,0.209,0.705
269,jabłka;pomidory,0.053,cebula,0.220,0.009,0.178,0.809
270,cebula;pomidory,0.047,jabłka,0.253,0.009,0.198,0.781
271,banany;mleko,0.103,makaron pełnoziarnisty,0.168,0.015,0.148,0.879
272,mleko;makaron pełnoziarnisty,0.072,banany,0.258,0.015,0.213,0.826
273,banany;makaron pełnoziarnisty,0.030,mleko,0.636,0.015,0.504,0.792
274,płatki owsiane;czekolada gorzka,0.012,ryż,0.170,0.002,0.163,0.962
275,ryż;czekolada gorzka,0.013,płatki owsiane,0.175,0.002,0.157,0.895
276,winogrona;ser żółty,0.055,papryka czerwona,0.181,0.008,0.147,0.814
277,winogrona;papryka czerwona,0.030,ser żółty,0.331,0.008,0.269,0.813
278,ser żółty;papryka czerwona,0.044,winogrona,0.209,0.008,0.186,0.890
279,jabłka;banany,0.043,papryka czerwona,0.181,0.007,0.153,0.844
280,jabłka;papryka czerwona,0.032,banany,0.258,0.007,0.208,0.808
281,banany;papryka czerwona,0.036,jabłka,0.253,0.007,0.182,0.717
282,chleb;cukier,0.037,jogurt naturalny,0.427,0.012,0.331,0.775
283,olej rzepakowy;chleb,0.051,kasza jaglana,0.134,0.005,0.105,0.785
284,cukierki;kawa,0.013,banany,0.258,0.003,0.235,0.914
285,cukierki;banany,0.018,kawa,0.121,0.003,0.174,1.443
286,kawa;banany,0.025,cukierki,0.081,0.003,0.120,1.483
287,cebula;cukier,0.016,jajka,0.207,0.003,0.194,0.934
288,jajka;cukier,0.016,cebula,0.220,0.003,0.190,0.866
289,ryż;ziemniaki,0.029,gruszki,0.223,0.005,0.157,0.702
290,ryż;gruszki,0.028,ziemniaki,0.217,0.005,0.165,0.762
291,ziemniaki;gruszki,0.033,ryż,0.170,0.005,0.137,0.809
292,pomidory;chleb,0.113,sok pomarańczowy,0.176,0.015,0.131,0.744
293,sok pomarańczowy;olej rzepakowy,0.015,gruszki,0.223,0.003,0.164,0.735
294,ryż;pomidory,0.034,ser żółty,0.331,0.008,0.233,0.704
295,pomidory;ser żółty,0.064,ryż,0.170,0.008,0.124,0.728
296,płatki owsiane;herbata,0.018,banany,0.258,0.004,0.222,0.863
297,płatki owsiane;banany,0.036,herbata,0.136,0.004,0.112,0.823
298,herbata;banany,0.026,płatki owsiane,0.175,0.004,0.154,0.877
299,ziemniaki;jajka,0.033,makaron pełnoziarnisty,0.168,0.004,0.131,0.776
300,ziemniaki;makaron pełnoziarnisty,0.028,jajka,0.207,0.004,0.156,0.752
301,winogrona;jajka,0.032,papryka czerwona,0.181,0.006,0.180,0.992
302,winogrona;papryka czerwona,0.030,jajka,0.207,0.006,0.193,0.932
303,jajka;papryka czerwona,0.029,winogrona,0.209,0.006,0.200,0.957
304,kasza jaglana;kawa,0.012,mleko,0.636,0.005,0.457,0.717
305,kawa;mleko,0.053,kasza jaglana,0.134,0.005,0.101,0.759
306,kawa;ciasteczka owsiane,0.009,pomidory,0.296,0.002,0.229,0.771
307,pomidory;ciasteczka owsiane,0.019,kawa,0.121,0.002,0.110,0.909
308,ogórki;ser żółty,0.070,marchew,0.216,0.011,0.159,0.735
309,ogórki;marchew,0.041,ser żółty,0.331,0.011,0.275,0.831
310,ser żółty;marchew,0.053,ogórki,0.294,0.011,0.210,0.714
311,masło;gruszki,0.024,makaron pełnoziarnisty,0.168,0.005,0.204,1.213
312,masło;makaron pełnoziarnisty,0.019,gruszki,0.223,0.005,0.257,1.151
313,gruszki;makaron pełnoziarnisty,0.032,masło,0.131,0.005,0.151,1.149
314,ryż;mleko,0.073,ser żółty,0.331,0.018,0.244,0.737
315,ser żółty;mleko,0.131,ryż,0.170,0.018,0.136,0.801
316,cytryny;mleko,0.039,kasza jaglana,0.134,0.004,0.105,0.787
317,ser żółty;chleb,0.130,jajka,0.207,0.021,0.164,0.791
318,ser żółty;jajka,0.047,chleb,0.637,0.021,0.454,0.713
319,chleb;jajka,0.089,ser żółty,0.331,0.021,0.239,0.721
320,winogrona;płatki owsiane,0.025,cukier,0.089,0.003,0.102,1.146
321,winogrona;cukier,0.014,płatki owsiane,0.175,0.003,0.179,1.018
322,płatki owsiane;cukier,0.013,winogrona,0.209,0.003,0.192,0.920
323,jabłka;kasza jaglana,0.025,sok pomarańczowy,0.176,0.004,0.140,0.797
324,kasza jaglana;sok pomarańczowy,0.019,jabłka,0.253,0.004,0.184,0.727
325,cebula;makaron pełnoziarnisty,0.026,jabłka,0.253,0.005,0.184,0.728
326,herbata;ser żółty,0.033,marchew,0.216,0.005,0.162,0.747
327,jabłka;jogurt naturalny,0.074,marchew,0.216,0.012,0.164,0.760
328,jabłka;marchew,0.040,jogurt naturalny,0.427,0.012,0.306,0.716
329,jogurt naturalny;marchew,0.064,jabłka,0.253,0.012,0.190,0.751
330,cebula;ciasteczka owsiane,0.017,sok pomarańczowy,0.176,0.002,0.136,0.777
331,sok pomarańczowy;ciasteczka owsiane,0.010,cebula,0.220,0.002,0.225,1.023
332,jajka;czekolada gorzka,0.014,gruszki,0.223,0.003,0.175,0.787
333,gruszki;czekolada gorzka,0.016,jajka,0.207,0.003,0.154,0.742
334,banany;papryka czerwona,0.036,mąka,0.120,0.004,0.105,0.878
335,banany;mąka,0.026,papryka czerwona,0.181,0.004,0.147,0.812
336,papryka czerwona;mąka,0.018,banany,0.258,0.004,0.214,0.832
337,cukierki;sok pomarańczowy,0.012,ser żółty,0.331,0.003,0.234,0.707
338,cukierki;ser żółty,0.020,sok pomarańczowy,0.176,0.003,0.141,0.803
339,ogórki;cukier,0.018,ryż,0.170,0.003,0.157,0.926
340,jabłka;cukier,0.018,pomidory,0.296,0.005,0.278,0.937
341,pomidory;cukier,0.020,jabłka,0.253,0.005,0.253,0.999
342,winogrona;mąka,0.020,gruszki,0.223,0.004,0.215,0.965
343,winogrona;gruszki,0.037,mąka,0.120,0.004,0.117,0.981
344,mąka;gruszki,0.019,winogrona,0.209,0.004,0.224,1.070
345,cebula;cukier,0.016,ser żółty,0.331,0.005,0.323,0.975
346,ser żółty;cukier,0.025,cebula,0.220,0.005,0.206,0.937
347,cebula;cytryny,0.016,jogurt naturalny,0.427,0.005,0.323,0.757
348,cytryny;jogurt naturalny,0.024,cebula,0.220,0.005,0.226,1.026
349,masło;ser żółty,0.032,makaron pełnoziarnisty,0.168,0.005,0.144,0.855
350,masło;makaron pełnoziarnisty,0.019,ser żółty,0.331,0.005,0.243,0.735
351,ser żółty;makaron pełnoziarnisty,0.041,masło,0.131,0.005,0.113,0.858
352,płatki owsiane;cytryny,0.011,banany,0.258,0.003,0.250,0.971
353,cytryny;banany,0.017,płatki owsiane,0.175,0.003,0.162,0.923
354,cebula;kawa,0.022,jogurt naturalny,0.427,0.007,0.306,0.716
355,kawa;jogurt naturalny,0.042,cebula,0.220,0.007,0.159,0.721
356,sok pomarańczowy;masło,0.018,ser żółty,0.331,0.004,0.232,0.701
357,masło;ser żółty,0.032,sok pomarańczowy,0.176,0.004,0.128,0.729
358,masło;papryka czerwona,0.022,makaron pełnoziarnisty,0.168,0.004,0.182,1.079
359,masło;makaron pełnoziarnisty,0.019,papryka czerwona,0.181,0.004,0.216,1.193
360,papryka czerwona;makaron pełnoziarnisty,0.025,masło,0.131,0.004,0.163,1.245
361,winogrona;ryż,0.024,cukier,0.089,0.003,0.108,1.207
362,winogrona;cukier,0.014,ryż,0.170,0.003,0.179,1.052
363,ryż;cukier,0.014,winogrona,0.209,0.003,0.182,0.870
364,kasza jaglana;herbata,0.016,mleko,0.636,0.010,0.641,1.007
365,kasza jaglana;mleko,0.058,herbata,0.136,0.010,0.178,1.311
366,herbata;mleko,0.064,kasza jaglana,0.134,0.010,0.163,1.222
367,kasza jaglana;jogurt naturalny,0.040,makaron pełnoziarnisty,0.168,0.005,0.134,0.794
368,kasza jaglana;makaron pełnoziarnisty,0.017,jogurt naturalny,0.427,0.005,0.313,0.734
369,jogurt naturalny;makaron pełnoziarnisty,0.053,kasza jaglana,0.134,0.005,0.101,0.759
370,cukierki;ryż,0.013,jogurt naturalny,0.427,0.005,0.373,0.872
371,cukierki;jogurt naturalny,0.026,ryż,0.170,0.005,0.186,1.097
372,jajka;czekolada gorzka,0.014,papryka czerwona,0.181,0.002,0.158,0.872
373,papryka czerwona;czekolada gorzka,0.013,jajka,0.207,0.002,0.170,0.819
374,płatki owsiane;chleb,0.077,mąka,0.120,0.009,0.118,0.988
375,płatki owsiane;mąka,0.019,chleb,0.637,0.009,0.480,0.754
376,chleb;mąka,0.054,płatki owsiane,0.175,0.009,0.171,0.973
377,pomidory;ciasteczka owsiane,0.019,jogurt naturalny,0.427,0.006,0.329,0.770
378,ciasteczka owsiane;jogurt naturalny,0.028,pomidory,0.296,0.006,0.220,0.743
379,cytryny;pomidory,0.019,ser żółty,0.331,0.006,0.311,0.939
