id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,ser żółty;chleb pełnoziarnisty,0.160,banany;mleko,0.165,0.026,0.162,0.985
127,ser żółty;jajka;mleko,0.070,jogurt naturalny,0.434,0.030,0.429,0.987
128,ser żółty;jogurt naturalny;mleko,0.080,jajka,0.432,0.030,0.375,0.868
129,jajka;jogurt naturalny;mleko,0.070,ser żółty,0.418,0.030,0.429,1.025
130,jabłka;ser żółty,0.163,jogurt naturalny;mleko,0.184,0.036,0.221,1.200
131,ser żółty;jogurt naturalny,0.175,jabłka;mleko,0.170,0.036,0.206,1.210
132,ser żółty;mleko,0.194,jabłka;jogurt naturalny,0.177,0.036,0.186,1.048
133,jabłka;jogurt naturalny,0.177,ser żółty;mleko,0.194,0.036,0.203,1.048
134,jabłka;mleko,0.170,ser żółty;jogurt naturalny,0.175,0.036,0.212,1.210
135,jogurt naturalny;mleko,0.184,jabłka;ser żółty,0.163,0.036,0.196,1.200
136,jabłka;ser żółty;jogurt naturalny,0.070,mleko,0.434,0.036,0.514,1.185
137,jabłka;ser żółty;mleko,0.078,jogurt naturalny,0.434,0.036,0.462,1.063
138,ser żółty;jogurt naturalny;mleko,0.080,jabłka,0.407,0.036,0.450,1.106
139,jabłka;jogurt naturalny;mleko,0.079,ser żółty,0.418,0.036,0.456,1.090
140,ser żółty;jajka,0.176,chleb pełnoziarnisty;mleko,0.177,0.026,0.148,0.835
141,ser żółty;chleb pełnoziarnisty,0.160,jajka;mleko,0.171,0.026,0.162,0.950
142,ser żółty;mleko,0.194,jajka;chleb pełnoziarnisty,0.180,0.026,0.134,0.745
143,jajka;chleb pełnoziarnisty,0.180,ser żółty;mleko,0.194,0.026,0.144,0.745
144,jajka;mleko,0.171,ser żółty;chleb pełnoziarnisty,0.160,0.026,0.152,0.950
145,chleb pełnoziarnisty;mleko,0.177,ser żółty;jajka,0.176,0.026,0.147,0.835
146,ser żółty;jajka;chleb pełnoziarnisty,0.072,mleko,0.434,0.026,0.361,0.832
147,ser żółty;jajka;mleko,0.070,chleb pełnoziarnisty,0.414,0.026,0.371,0.897
148,ser żółty;chleb pełnoziarnisty;mleko,0.073,jajka,0.432,0.026,0.356,0.824
149,jajka;chleb pełnoziarnisty;mleko,0.071,ser żółty,0.418,0.026,0.366,0.876
150,ziemniaki;ser żółty,0.159,jabłka;mleko,0.170,0.039,0.245,1.443
151,ziemniaki;jabłka,0.160,ser żółty;mleko,0.194,0.039,0.244,1.256
152,ziemniaki;mleko,0.178,jabłka;ser żółty,0.163,0.039,0.219,1.344
153,jabłka;ser żółty,0.163,ziemniaki;mleko,0.178,0.039,0.239,1.344
154,ser żółty;mleko,0.194,ziemniaki;jabłka,0.160,0.039,0.201,1.256
155,jabłka;mleko,0.170,ziemniaki;ser żółty,0.159,0.039,0.229,1.443
156,ziemniaki;jabłka;ser żółty,0.065,mleko,0.434,0.039,0.600,1.382
157,ziemniaki;ser żółty;mleko,0.081,jabłka,0.407,0.039,0.481,1.183
158,ziemniaki;jabłka;mleko,0.077,ser żółty,0.418,0.039,0.506,1.212
159,jabłka;ser żółty;mleko,0.078,ziemniaki,0.401,0.039,0.500,1.247
160,ziemniaki;jabłka,0.160,ryż brązowy;jogurt naturalny,0.172,0.021,0.131,0.763
161,ziemniaki;ryż brązowy,0.156,jabłka;jogurt naturalny,0.177,0.021,0.135,0.761
162,ziemniaki;jogurt naturalny,0.165,jabłka;ryż brązowy,0.175,0.021,0.127,0.727
163,jabłka;ryż brązowy,0.175,ziemniaki;jogurt naturalny,0.165,0.021,0.120,0.727
164,jabłka;jogurt naturalny,0.177,ziemniaki;ryż brązowy,0.156,0.021,0.119,0.761
165,ryż brązowy;jogurt naturalny,0.172,ziemniaki;jabłka,0.160,0.021,0.122,0.763
166,ziemniaki;jabłka;ryż brązowy,0.062,jogurt naturalny,0.434,0.021,0.339,0.780
167,ziemniaki;jabłka;jogurt naturalny,0.070,ryż brązowy,0.412,0.021,0.300,0.728
168,ziemniaki;ryż brązowy;jogurt naturalny,0.056,jabłka,0.407,0.021,0.375,0.921
169,jabłka;ryż brązowy;jogurt naturalny,0.069,ziemniaki,0.401,0.021,0.304,0.759
170,ryż brązowy;chleb pełnoziarnisty,0.176,jogurt naturalny;ogórki,0.162,0.030,0.170,1.052
171,ryż brązowy;ogórki,0.169,chleb pełnoziarnisty;jogurt naturalny,0.169,0.030,0.178,1.050
172,ryż brązowy;jogurt naturalny,0.172,chleb pełnoziarnisty;ogórki,0.163,0.030,0.174,1.070
173,chleb pełnoziarnisty;ogórki,0.163,ryż brązowy;jogurt naturalny,0.172,0.030,0.184,1.070
174,chleb pełnoziarnisty;jogurt naturalny,0.169,ryż brązowy;ogórki,0.169,0.030,0.178,1.050
175,jogurt naturalny;ogórki,0.162,ryż brązowy;chleb pełnoziarnisty,0.176,0.030,0.185,1.052
176,ryż brązowy;chleb pełnoziarnisty;ogórki,0.073,jogurt naturalny,0.434,0.030,0.411,0.947
177,ryż brązowy;chleb pełnoziarnisty;jogurt naturalny,0.071,ogórki,0.396,0.030,0.423,1.067
178,ryż brązowy;jogurt naturalny;ogórki,0.066,chleb pełnoziarnisty,0.414,0.030,0.455,1.098
179,chleb pełnoziarnisty;jogurt naturalny;ogórki,0.065,ryż brązowy,0.412,0.030,0.462,1.120
180,ziemniaki;ser żółty,0.159,jabłka;ryż brązowy,0.175,0.025,0.157,0.898
181,ziemniaki;jabłka,0.160,ser żółty;ryż brązowy,0.171,0.025,0.156,0.914
182,ziemniaki;ryż brązowy,0.156,jabłka;ser żółty,0.163,0.025,0.160,0.983
183,jabłka;ser żółty,0.163,ziemniaki;ryż brązowy,0.156,0.025,0.153,0.983
184,ser żółty;ryż brązowy,0.171,ziemniaki;jabłka,0.160,0.025,0.146,0.914
185,jabłka;ryż brązowy,0.175,ziemniaki;ser żółty,0.159,0.025,0.143,0.898
186,ziemniaki;jabłka;ser żółty,0.065,ryż brązowy,0.412,0.025,0.385,0.934
187,ziemniaki;ser żółty;ryż brązowy,0.062,jabłka,0.407,0.025,0.403,0.991
188,ziemniaki;jabłka;ryż brązowy,0.062,ser żółty,0.418,0.025,0.403,0.965
189,jabłka;ser żółty;ryż brązowy,0.068,ziemniaki,0.401,0.025,0.368,0.917
190,ziemniaki;ser żółty,0.159,chleb pełnoziarnisty;mleko,0.177,0.030,0.189,1.066
191,ziemniaki;chleb pełnoziarnisty,0.164,ser żółty;mleko,0.194,0.030,0.183,0.943
192,ziemniaki;mleko,0.178,ser żółty;chleb pełnoziarnisty,0.160,0.030,0.169,1.053
193,ser żółty;chleb pełnoziarnisty,0.160,ziemniaki;mleko,0.178,0.030,0.188,1.053
194,ser żółty;mleko,0.194,ziemniaki;chleb pełnoziarnisty,0.164,0.030,0.155,0.943
195,chleb pełnoziarnisty;mleko,0.177,ziemniaki;ser żółty,0.159,0.030,0.169,1.066
196,ziemniaki;ser żółty;chleb pełnoziarnisty,0.059,mleko,0.434,0.030,0.508,1.172
197,ziemniaki;ser żółty;mleko,0.081,chleb pełnoziarnisty,0.414,0.030,0.370,0.895
198,ziemniaki;chleb pełnoziarnisty;mleko,0.073,ser żółty,0.418,0.030,0.411,0.983
199,ser żółty;chleb pełnoziarnisty;mleko,0.073,ziemniaki,0.401,0.030,0.411,1.025
200,ziemniaki;jabłka,0.160,ryż brązowy;mleko,0.181,0.023,0.144,0.794
201,ziemniaki;ryż brązowy,0.156,jabłka;mleko,0.170,0.023,0.147,0.867
202,ziemniaki;mleko,0.178,jabłka;ryż brązowy,0.175,0.023,0.129,0.738
203,jabłka;ryż brązowy,0.175,ziemniaki;mleko,0.178,0.023,0.131,0.738
204,jabłka;mleko,0.170,ziemniaki;ryż brązowy,0.156,0.023,0.135,0.867
205,ryż brązowy;mleko,0.181,ziemniaki;jabłka,0.160,0.023,0.127,0.794
206,ziemniaki;jabłka;ryż brązowy,0.062,mleko,0.434,0.023,0.371,0.855
207,ziemniaki;jabłka;mleko,0.077,ryż brązowy,0.412,0.023,0.299,0.725
208,ziemniaki;ryż brązowy;mleko,0.063,jabłka,0.407,0.023,0.365,0.897
209,jabłka;ryż brązowy;mleko,0.070,ziemniaki,0.401,0.023,0.329,0.819
210,ziemniaki;jajka,0.177,ryż brązowy;banany,0.149,0.030,0.169,1.138
211,ziemniaki;ryż brązowy,0.156,jajka;banany,0.157,0.030,0.192,1.225
212,ziemniaki;banany,0.146,jajka;ryż brązowy,0.171,0.030,0.205,1.202
213,jajka;ryż brązowy,0.171,ziemniaki;banany,0.146,0.030,0.175,1.202
214,jajka;banany,0.157,ziemniaki;ryż brązowy,0.156,0.030,0.191,1.225
215,ryż brązowy;banany,0.149,ziemniaki;jajka,0.177,0.030,0.201,1.138
216,ziemniaki;jajka;ryż brązowy,0.071,banany,0.389,0.030,0.423,1.086
217,ziemniaki;jajka;banany,0.062,ryż brązowy,0.412,0.030,0.484,1.174
218,ziemniaki;ryż brązowy;banany,0.056,jajka,0.432,0.030,0.536,1.240
219,jajka;ryż brązowy;banany,0.066,ziemniaki,0.401,0.030,0.455,1.134
220,jajka;ryż brązowy,0.171,chleb pełnoziarnisty;ogórki,0.163,0.030,0.175,1.076
221,jajka;chleb pełnoziarnisty,0.180,ryż brązowy;ogórki,0.169,0.030,0.167,0.986
222,jajka;ogórki,0.155,ryż brązowy;chleb pełnoziarnisty,0.176,0.030,0.194,1.100
223,ryż brązowy;chleb pełnoziarnisty,0.176,jajka;ogórki,0.155,0.030,0.170,1.100
224,ryż brązowy;ogórki,0.169,jajka;chleb pełnoziarnisty,0.180,0.030,0.178,0.986
225,chleb pełnoziarnisty;ogórki,0.163,jajka;ryż brązowy,0.171,0.030,0.184,1.076
226,jajka;ryż brązowy;chleb pełnoziarnisty,0.075,ogórki,0.396,0.030,0.400,1.010
227,jajka;ryż brązowy;ogórki,0.065,chleb pełnoziarnisty,0.414,0.030,0.462,1.115
228,jajka;chleb pełnoziarnisty;ogórki,0.066,ryż brązowy,0.412,0.030,0.455,1.103
229,ryż brązowy;chleb pełnoziarnisty;ogórki,0.073,jajka,0.432,0.030,0.411,0.951
230,ser żółty;ryż brązowy,0.171,jogurt naturalny;banany,0.156,0.023,0.135,0.862
231,ser żółty;jogurt naturalny,0.175,ryż brązowy;banany,0.149,0.023,0.131,0.882
232,ser żółty;banany,0.163,ryż brązowy;jogurt naturalny,0.172,0.023,0.141,0.820
233,ryż brązowy;jogurt naturalny,0.172,ser żółty;banany,0.163,0.023,0.134,0.820
234,ryż brązowy;banany,0.149,ser żółty;jogurt naturalny,0.175,0.023,0.154,0.882
235,jogurt naturalny;banany,0.156,ser żółty;ryż brązowy,0.171,0.023,0.147,0.862
236,ser żółty;ryż brązowy;jogurt naturalny,0.069,banany,0.389,0.023,0.333,0.857
237,ser żółty;ryż brązowy;banany,0.061,jogurt naturalny,0.434,0.023,0.377,0.869
238,ser żółty;jogurt naturalny;banany,0.061,ryż brązowy,0.412,0.023,0.377,0.915
239,ryż brązowy;jogurt naturalny;banany,0.057,ser żółty,0.418,0.023,0.404,0.965
240,ziemniaki;ser żółty,0.159,jabłka;jogurt naturalny,0.177,0.025,0.157,0.888
241,ziemniaki;jabłka,0.160,ser żółty;jogurt naturalny,0.175,0.025,0.156,0.893
242,ziemniaki;jogurt naturalny,0.165,jabłka;ser żółty,0.163,0.025,0.152,0.930
243,jabłka;ser żółty,0.163,ziemniaki;jogurt naturalny,0.165,0.025,0.153,0.930
244,ser żółty;jogurt naturalny,0.175,ziemniaki;jabłka,0.160,0.025,0.143,0.893
245,jabłka;jogurt naturalny,0.177,ziemniaki;ser żółty,0.159,0.025,0.141,0.888
246,ziemniaki;jabłka;ser żółty,0.065,jogurt naturalny,0.434,0.025,0.385,0.886
247,ziemniaki;ser żółty;jogurt naturalny,0.054,jabłka,0.407,0.025,0.463,1.138
248,ziemniaki;jabłka;jogurt naturalny,0.070,ser żółty,0.418,0.025,0.357,0.854
249,jabłka;ser żółty;jogurt naturalny,0.070,ziemniaki,0.401,0.025,0.357,0.891
250,ziemniaki;jajka,0.177,ryż brązowy;mleko,0.181,0.032,0.181,0.999
251,ziemniaki;ryż brązowy,0.156,jajka;mleko,0.171,0.032,0.205,1.200
252,ziemniaki;mleko,0.178,jajka;ryż brązowy,0.171,0.032,0.180,1.051
253,jajka;ryż brązowy,0.171,ziemniaki;mleko,0.178,0.032,0.187,1.051
254,jajka;mleko,0.171,ziemniaki;ryż brązowy,0.156,0.032,0.187,1.200
255,ryż brązowy;mleko,0.181,ziemniaki;jajka,0.177,0.032,0.177,0.999
256,ziemniaki;jajka;ryż brązowy,0.071,mleko,0.434,0.032,0.451,1.038
257,ziemniaki;jajka;mleko,0.084,ryż brązowy,0.412,0.032,0.381,0.925
258,ziemniaki;ryż brązowy;mleko,0.063,jajka,0.432,0.032,0.508,1.176
259,jajka;ryż brązowy;mleko,0.072,ziemniaki,0.401,0.032,0.444,1.108
260,ziemniaki;jabłka,0.160,ogórki;banany,0.156,0.025,0.156,1.002
261,ziemniaki;ogórki,0.153,jabłka;banany,0.160,0.025,0.163,1.021
262,ziemniaki;banany,0.146,jabłka;ogórki,0.150,0.025,0.171,1.142
263,jabłka;ogórki,0.150,ziemniaki;banany,0.146,0.025,0.167,1.142
264,jabłka;banany,0.160,ziemniaki;ogórki,0.153,0.025,0.156,1.021
265,ogórki;banany,0.156,ziemniaki;jabłka,0.160,0.025,0.160,1.002
266,ziemniaki;jabłka;ogórki,0.061,banany,0.389,0.025,0.410,1.054
267,ziemniaki;jabłka;banany,0.057,ogórki,0.396,0.025,0.439,1.108
268,ziemniaki;ogórki;banany,0.062,jabłka,0.407,0.025,0.403,0.991
269,jabłka;ogórki;banany,0.065,ziemniaki,0.401,0.025,0.385,0.959
270,ziemniaki;ser żółty,0.159,ryż brązowy;chleb pełnoziarnisty,0.176,0.025,0.157,0.893
271,ziemniaki;ryż brązowy,0.156,ser żółty;chleb pełnoziarnisty,0.160,0.025,0.160,1.002
272,ziemniaki;chleb pełnoziarnisty,0.164,ser żółty;ryż brązowy,0.171,0.025,0.152,0.891
273,ser żółty;ryż brązowy,0.171,ziemniaki;chleb pełnoziarnisty,0.164,0.025,0.146,0.891
274,ser żółty;chleb pełnoziarnisty,0.160,ziemniaki;ryż brązowy,0.156,0.025,0.156,1.002
275,ryż brązowy;chleb pełnoziarnisty,0.176,ziemniaki;ser żółty,0.159,0.025,0.142,0.893
276,ziemniaki;ser żółty;ryż brązowy,0.062,chleb pełnoziarnisty,0.414,0.025,0.403,0.974
277,ziemniaki;ser żółty;chleb pełnoziarnisty,0.059,ryż brązowy,0.412,0.025,0.424,1.028
278,ziemniaki;ryż brązowy;chleb pełnoziarnisty,0.068,ser żółty,0.418,0.025,0.368,0.880
279,ser żółty;ryż brązowy;chleb pełnoziarnisty,0.071,ziemniaki,0.401,0.025,0.352,0.878
280,ziemniaki;jabłka,0.160,ryż brązowy;banany,0.149,0.021,0.131,0.881
281,ziemniaki;ryż brązowy,0.156,jabłka;banany,0.160,0.021,0.135,0.841
282,ziemniaki;banany,0.146,jabłka;ryż brązowy,0.175,0.021,0.144,0.822
283,jabłka;ryż brązowy,0.175,ziemniaki;banany,0.146,0.021,0.120,0.822
284,jabłka;banany,0.160,ziemniaki;ryż brązowy,0.156,0.021,0.131,0.841
285,ryż brązowy;banany,0.149,ziemniaki;jabłka,0.160,0.021,0.141,0.881
286,ziemniaki;jabłka;ryż brązowy,0.062,banany,0.389,0.021,0.339,0.871
287,ziemniaki;jabłka;banany,0.057,ryż brązowy,0.412,0.021,0.368,0.894
