id,support,pattern
32,0.024,jabłka;ogórki;jogurt naturalny;mleko
33,0.026,ziemniaki;jajka;ogórki;banany
34,0.024,ziemniaki;ryż brązowy;chleb pełnoziarnisty;jogurt naturalny
35,0.020,ziemniaki;ser żółty;jogurt naturalny;banany
36,0.021,ziemniaki;jajka;ogórki;jogurt naturalny
37,0.027,ziemniaki;ser żółty;jogurt naturalny;mleko
38,0.036,ser żółty;jajka;ryż brązowy;chleb pełnoziarnisty
39,0.031,ser żółty;jabłka;chleb pełnoziarnisty;mleko
40,0.024,ziemniaki;ryż brązowy;chleb pełnoziarnisty;banany
41,0.026,ser żółty;jabłka;chleb pełnoziarnisty;ogórki
42,0.021,ziemniaki;ryż brązowy;mleko;banany
43,0.029,ziemniaki;ser żółty;jabłka;banany
44,0.024,ser żółty;ogórki;jogurt naturalny;banany
45,0.023,jabłka;jajka;ryż brązowy;banany
46,0.022,ser żółty;jabłka;jajka;chleb pełnoziarnisty
47,0.030,ser żółty;ryż brązowy;ogórki;banany
48,0.022,ziemniaki;chleb pełnoziarnisty;jogurt naturalny;banany
49,0.025,chleb pełnoziarnisty;ogórki;jogurt naturalny;mleko
50,0.033,jajka;ryż brązowy;chleb pełnoziarnisty;mleko
51,0.024,jabłka;jogurt naturalny;mleko;banany
52,0.031,ser żółty;chleb pełnoziarnisty;jogurt naturalny;mleko
53,0.025,ser żółty;chleb pełnoziarnisty;ogórki;jogurt naturalny
54,0.030,ziemniaki;ser żółty;ogórki;mleko
55,0.032,ser żółty;ryż brązowy;jogurt naturalny;mleko
56,0.035,ziemniaki;jajka;jogurt naturalny;mleko
57,0.022,ziemniaki;ser żółty;jabłka;chleb pełnoziarnisty
58,0.021,ziemniaki;ryż brązowy;jogurt naturalny;banany
59,0.027,ser żółty;jogurt naturalny;mleko;banany
60,0.038,ziemniaki;jabłka;jogurt naturalny;mleko
61,0.029,ziemniaki;jabłka;ryż brązowy;ogórki
62,0.026,ser żółty;jajka;jogurt naturalny;banany
63,0.028,ryż brązowy;chleb pełnoziarnisty;ogórki;mleko
64,0.025,jabłka;chleb pełnoziarnisty;jogurt naturalny;banany
65,0.024,jabłka;jajka;chleb pełnoziarnisty;banany
66,0.027,ziemniaki;jogurt naturalny;mleko;banany
67,0.026,ser żółty;ryż brązowy;chleb pełnoziarnisty;banany
68,0.022,ser żółty;jabłka;jajka;banany
69,0.035,jabłka;ryż brązowy;chleb pełnoziarnisty;mleko
70,0.029,ser żółty;jabłka;ryż brązowy;mleko
71,0.025,ziemniaki;ser żółty;jajka;ogórki
72,0.026,ser żółty;ryż brązowy;chleb pełnoziarnisty;jogurt naturalny
73,0.028,jajka;ryż brązowy;ogórki;mleko
74,0.023,jajka;chleb pełnoziarnisty;ogórki;mleko
75,0.023,ziemniaki;jabłka;jajka;ryż brązowy
76,0.031,ser żółty;jajka;ryż brązowy;mleko
77,0.028,ser żółty;ryż brązowy;mleko;banany
78,0.030,jabłka;jajka;jogurt naturalny;mleko
79,0.023,ser żółty;jabłka;jajka;ogórki
80,0.030,ser żółty;ryż brązowy;ogórki;jogurt naturalny
81,0.027,ser żółty;chleb pełnoziarnisty;ogórki;banany
82,0.025,ser żółty;jajka;ogórki;mleko
83,0.025,chleb pełnoziarnisty;ogórki;mleko;banany
84,0.027,ziemniaki;ser żółty;jajka;banany
85,0.027,ziemniaki;ser żółty;ryż brązowy;mleko
86,0.034,ziemniaki;jabłka;chleb pełnoziarnisty;jogurt naturalny
87,0.027,ziemniaki;jajka;chleb pełnoziarnisty;banany
88,0.028,jajka;ryż brązowy;mleko;banany
89,0.030,ziemniaki;ser żółty;ogórki;banany
90,0.021,ser żółty;jajka;ogórki;jogurt naturalny
91,0.035,ser żółty;ryż brązowy;chleb pełnoziarnisty;ogórki
92,0.023,jajka;ogórki;jogurt naturalny;banany
93,0.021,ogórki;jogurt naturalny;mleko;banany
94,0.022,jajka;ogórki;mleko;banany
95,0.022,ziemniaki;jabłka;chleb pełnoziarnisty;banany
96,0.030,ziemniaki;jajka;chleb pełnoziarnisty;jogurt naturalny
97,0.022,jabłka;chleb pełnoziarnisty;ogórki;mleko
98,0.026,jajka;chleb pełnoziarnisty;mleko;banany
99,0.029,ser żółty;jabłka;jajka;jogurt naturalny
100,0.028,ser żółty;jabłka;ryż brązowy;ogórki
101,0.024,ziemniaki;ser żółty;jajka;jogurt naturalny
102,0.028,ziemniaki;jabłka;mleko;banany
103,0.024,jabłka;ryż brązowy;ogórki;mleko
104,0.023,jabłka;jajka;chleb pełnoziarnisty;jogurt naturalny
105,0.024,jajka;ryż brązowy;jogurt naturalny;banany
106,0.030,ser żółty;jabłka;ogórki;banany
107,0.024,ser żółty;jabłka;ogórki;jogurt naturalny
108,0.021,ziemniaki;jajka;jogurt naturalny;banany
109,0.021,jabłka;ryż brązowy;ogórki;jogurt naturalny
110,0.030,ryż brązowy;ogórki;jogurt naturalny;mleko
111,0.022,jabłka;ogórki;jogurt naturalny;banany
112,0.034,ser żółty;jabłka;ogórki;mleko
113,0.025,ziemniaki;ser żółty;jajka;chleb pełnoziarnisty
114,0.021,ryż brązowy;chleb pełnoziarnisty;jogurt naturalny;banany
115,0.026,ryż brązowy;ogórki;mleko;banany
116,0.025,ziemniaki;chleb pełnoziarnisty;ogórki;mleko
117,0.024,ziemniaki;ser żółty;jabłka;jajka
118,0.029,ser żółty;jabłka;jajka;ryż brązowy
119,0.027,ryż brązowy;ogórki;jogurt naturalny;banany
120,0.034,ziemniaki;jabłka;jajka;mleko
121,0.034,ziemniaki;jajka;ryż brązowy;ogórki
122,0.023,ziemniaki;chleb pełnoziarnisty;ogórki;jogurt naturalny
123,0.028,ziemniaki;ryż brązowy;ogórki;banany
124,0.027,ziemniaki;ryż brązowy;ogórki;mleko
125,0.029,ryż brązowy;chleb pełnoziarnisty;jogurt naturalny;mleko
126,0.021,ziemniaki;chleb pełnoziarnisty;ogórki;banany
127,0.025,ziemniaki;ser żółty;jajka;ryż brązowy
128,0.023,ziemniaki;jajka;ogórki;mleko
129,0.025,ziemniaki;jajka;mleko;banany
130,0.028,jajka;chleb pełnoziarnisty;jogurt naturalny;mleko
131,0.024,ziemniaki;ryż brązowy;ogórki;jogurt naturalny
132,0.023,jajka;ryż brązowy;ogórki;jogurt naturalny
133,0.021,ser żółty;jabłka;jogurt naturalny;banany
134,0.027,ser żółty;ogórki;jogurt naturalny;mleko
135,0.029,jajka;ryż brązowy;jogurt naturalny;mleko
136,0.025,ser żółty;jajka;mleko;banany
137,0.029,ziemniaki;jabłka;ryż brązowy;chleb pełnoziarnisty
138,0.024,ser żółty;jabłka;chleb pełnoziarnisty;banany
139,0.025,ziemniaki;ser żółty;chleb pełnoziarnisty;ogórki
140,0.030,ser żółty;jajka;ryż brązowy;jogurt naturalny
141,0.031,ziemniaki;ser żółty;jabłka;ogórki
142,0.036,ziemniaki;jajka;chleb pełnoziarnisty;mleko
143,0.025,ziemniaki;chleb pełnoziarnisty;mleko;banany
144,0.026,ser żółty;jabłka;chleb pełnoziarnisty;jogurt naturalny
145,0.032,jabłka;ryż brązowy;chleb pełnoziarnisty;jogurt naturalny
146,0.029,ser żółty;jabłka;ryż brązowy;jogurt naturalny
147,0.030,ser żółty;ryż brązowy;chleb pełnoziarnisty;mleko
148,0.026,ser żółty;jajka;chleb pełnoziarnisty;ogórki
149,0.026,ziemniaki;jabłka;ogórki;mleko
150,0.035,ziemniaki;ryż brązowy;chleb pełnoziarnisty;ogórki
151,0.023,jabłka;chleb pełnoziarnisty;ogórki;jogurt naturalny
152,0.023,ryż brązowy;chleb pełnoziarnisty;mleko;banany
153,0.027,jabłka;ryż brązowy;chleb pełnoziarnisty;banany
154,0.027,jabłka;ryż brązowy;ogórki;banany
155,0.022,jabłka;chleb pełnoziarnisty;ogórki;banany
156,0.030,ser żółty;jabłka;mleko;banany
157,0.027,ziemniaki;ogórki;mleko;banany
158,0.034,ziemniaki;ser żółty;jajka;mleko
159,0.024,jabłka;jajka;ryż brązowy;chleb pełnoziarnisty
160,0.024,jabłka;ryż brązowy;mleko;banany
161,0.040,jabłka;chleb pełnoziarnisty;jogurt naturalny;mleko
162,0.030,ser żółty;jajka;ryż brązowy;banany
163,0.026,ziemniaki;ser żółty;chleb pełnoziarnisty;banany
164,0.030,ser żółty;jajka;ryż brązowy;ogórki
165,0.029,jabłka;chleb pełnoziarnisty;mleko;banany
166,0.026,chleb pełnoziarnisty;jogurt naturalny;mleko;banany
167,0.024,ser żółty;jabłka;jajka;mleko
168,0.029,jajka;ryż brązowy;chleb pełnoziarnisty;jogurt naturalny
169,0.032,ziemniaki;ser żółty;mleko;banany
170,0.022,jabłka;jajka;chleb pełnoziarnisty;mleko
171,0.029,jabłka;ryż brązowy;jogurt naturalny;mleko
172,0.031,ser żółty;chleb pełnoziarnisty;ogórki;mleko
173,0.032,ser żółty;jajka;ogórki;banany
174,0.030,jajka;ryż brązowy;chleb pełnoziarnisty;banany
175,0.022,jajka;chleb pełnoziarnisty;ogórki;jogurt naturalny
176,0.036,ziemniaki;jabłka;chleb pełnoziarnisty;mleko
177,0.031,ser żółty;ryż brązowy;ogórki;mleko
178,0.024,ziemniaki;ser żółty;ryż brązowy;banany
179,0.022,jabłka;ryż brązowy;chleb pełnoziarnisty;ogórki
180,0.034,ziemniaki;ser żółty;ryż brązowy;ogórki
181,0.023,ser żółty;jajka;chleb pełnoziarnisty;jogurt naturalny
182,0.025,ser żółty;jabłka;ryż brązowy;banany
183,0.024,jajka;chleb pełnoziarnisty;ogórki;banany
184,0.020,jabłka;ogórki;mleko;banany
185,0.023,chleb pełnoziarnisty;ogórki;jogurt naturalny;banany
186,0.033,ziemniaki;jajka;ryż brązowy;chleb pełnoziarnisty
187,0.030,jajka;ryż brązowy;ogórki;banany
188,0.032,ziemniaki;chleb pełnoziarnisty;jogurt naturalny;mleko
189,0.027,ser żółty;jajka;chleb pełnoziarnisty;banany
190,0.021,pomidory;jajka;ryż brązowy
191,0.026,oliwa z oliwek;ryż brązowy;mleko
192,0.023,ser żółty;ryż brązowy;kurczak
193,0.026,jajka;ryż brązowy;makaron pełnoziarnisty
194,0.028,jabłka;płatki owsiane;mleko
195,0.020,pomidory;ogórki;mleko
196,0.024,oliwa z oliwek;jajka;banany
197,0.025,płatki owsiane;jajka;ryż brązowy
198,0.073,ziemniaki;chleb pełnoziarnisty;mleko
199,0.021,chleb pełnoziarnisty;banany;makaron pełnoziarnisty
200,0.064,jajka;chleb pełnoziarnisty;jogurt naturalny
201,0.077,ser żółty;jajka;jogurt naturalny
202,0.024,płatki owsiane;ogórki;mleko
203,0.021,ogórki;banany;makaron pełnoziarnisty
204,0.065,ziemniaki;jabłka;jajka
205,0.023,pomidory;jajka;mleko
206,0.020,ziemniaki;jabłka;kurczak
207,0.021,pomidory;jogurt naturalny;ogórki
208,0.080,ser żółty;jogurt naturalny;mleko
209,0.020,ziemniaki;ser żółty;makaron pełnoziarnisty
210,0.070,jabłka;ser żółty;jogurt naturalny
211,0.023,jabłka;mleko;makaron pełnoziarnisty
212,0.021,ziemniaki;mleko;kurczak
213,0.062,jogurt naturalny;ogórki;banany
214,0.020,pomidory;jabłka;ogórki
215,0.031,ziemniaki;płatki owsiane;chleb pełnoziarnisty
216,0.062,ziemniaki;jabłka;ryż brązowy
217,0.028,oliwa z oliwek;ser żółty;jogurt naturalny
218,0.076,ziemniaki;jajka;jogurt naturalny
219,0.025,ser żółty;mleko;kurczak
220,0.027,pomidory;chleb pełnoziarnisty;ogórki
221,0.067,jabłka;ser żółty;banany
222,0.074,jabłka;chleb pełnoziarnisty;jogurt naturalny
223,0.075,ryż brązowy;jogurt naturalny;mleko
224,0.068,ser żółty;jajka;banany
225,0.024,mleko;banany;makaron pełnoziarnisty
226,0.021,pomidory;ryż brązowy;ogórki
227,0.075,ziemniaki;jogurt naturalny;mleko
228,0.026,chleb pełnoziarnisty;ogórki;makaron pełnoziarnisty
229,0.070,jabłka;ryż brązowy;mleko
230,0.026,chleb pełnoziarnisty;jogurt naturalny;kurczak
231,0.025,ziemniaki;oliwa z oliwek;mleko
232,0.024,oliwa z oliwek;jabłka;ser żółty
233,0.022,jajka;mleko;makaron pełnoziarnisty
234,0.078,ryż brązowy;chleb pełnoziarnisty;mleko
235,0.020,pomidory;ser żółty;jajka
236,0.068,ziemniaki;ryż brązowy;chleb pełnoziarnisty
237,0.062,ziemniaki;ogórki;banany
238,0.051,jabłka;jajka;ogórki
239,0.020,ogórki;mleko;kurczak
240,0.062,ziemniaki;jajka;banany
241,0.032,ser żółty;płatki owsiane;jajka
242,0.067,jajka;chleb pełnoziarnisty;banany
243,0.076,ser żółty;ryż brązowy;mleko
244,0.023,płatki owsiane;ryż brązowy;chleb pełnoziarnisty
245,0.024,oliwa z oliwek;chleb pełnoziarnisty;mleko
246,0.024,ziemniaki;pomidory;jogurt naturalny
247,0.026,ziemniaki;pomidory;ser żółty
248,0.025,ziemniaki;jogurt naturalny;kurczak
249,0.020,ser żółty;chleb pełnoziarnisty;makaron pełnoziarnisty
250,0.020,ser żółty;chleb pełnoziarnisty;kurczak
251,0.023,pomidory;ser żółty;chleb pełnoziarnisty
252,0.064,chleb pełnoziarnisty;ogórki;mleko
253,0.024,płatki owsiane;chleb pełnoziarnisty;ogórki
254,0.020,oliwa z oliwek;mleko;kurczak
255,0.020,pomidory;ser żółty;ogórki
256,0.065,chleb pełnoziarnisty;jogurt naturalny;ogórki
257,0.026,oliwa z oliwek;jabłka;ryż brązowy
258,0.026,ziemniaki;płatki owsiane;ogórki
259,0.030,ser żółty;mleko;makaron pełnoziarnisty
260,0.027,jogurt naturalny;mleko;kurczak
261,0.029,jabłka;ryż brązowy;makaron pełnoziarnisty
262,0.064,ziemniaki;ser żółty;jajka
263,0.023,pomidory;ryż brązowy;chleb pełnoziarnisty
264,0.022,ryż brązowy;jogurt naturalny;kurczak
265,0.024,ser żółty;jajka;makaron pełnoziarnisty
266,0.059,jabłka;jajka;chleb pełnoziarnisty
267,0.030,ziemniaki;płatki owsiane;jajka
268,0.081,ziemniaki;ser żółty;mleko
269,0.028,ziemniaki;oliwa z oliwek;ser żółty
270,0.020,pomidory;jogurt naturalny;kurczak
271,0.077,ziemniaki;jabłka;mleko
272,0.026,jabłka;płatki owsiane;ryż brązowy
273,0.025,płatki owsiane;jajka;mleko
274,0.071,ser żółty;ogórki;banany
275,0.074,ryż brązowy;ogórki;mleko
276,0.058,jabłka;jogurt naturalny;banany
277,0.020,oliwa z oliwek;jogurt naturalny;kurczak
278,0.030,oliwa z oliwek;jabłka;jogurt naturalny
279,0.079,ser żółty;ryż brązowy;ogórki
280,0.024,ziemniaki;pomidory;jajka
281,0.026,jajka;banany;kurczak
282,0.024,płatki owsiane;ryż brązowy;jogurt naturalny
283,0.066,jajka;ryż brązowy;banany
284,0.026,chleb pełnoziarnisty;banany;kurczak
285,0.028,oliwa z oliwek;jajka;chleb pełnoziarnisty
286,0.030,ziemniaki;oliwa z oliwek;jogurt naturalny
287,0.061,ser żółty;chleb pełnoziarnisty;jogurt naturalny
288,0.026,pomidory;chleb pełnoziarnisty;banany
289,0.027,oliwa z oliwek;ryż brązowy;chleb pełnoziarnisty
290,0.022,ziemniaki;jabłka;makaron pełnoziarnisty
291,0.023,ziemniaki;ser żółty;kurczak
292,0.058,jajka;mleko;banany
293,0.024,ryż brązowy;chleb pełnoziarnisty;makaron pełnoziarnisty
294,0.025,oliwa z oliwek;ser żółty;ryż brązowy
295,0.024,jabłka;banany;kurczak
296,0.064,jajka;ogórki;banany
297,0.028,ziemniaki;pomidory;mleko
298,0.026,pomidory;mleko;banany
299,0.068,ryż brązowy;ogórki;banany
300,0.071,jabłka;jajka;jogurt naturalny
301,0.031,pomidory;ser żółty;mleko
302,0.066,ziemniaki;chleb pełnoziarnisty;jogurt naturalny
303,0.071,ziemniaki;jajka;ryż brązowy
304,0.030,jabłka;ser żółty;płatki owsiane
305,0.025,ryż brązowy;mleko;makaron pełnoziarnisty
306,0.023,pomidory;jajka;ogórki
307,0.030,płatki owsiane;chleb pełnoziarnisty;banany
308,0.027,jajka;chleb pełnoziarnisty;makaron pełnoziarnisty
309,0.023,ogórki;banany;kurczak
310,0.053,ziemniaki;jogurt naturalny;ogórki
311,0.079,jabłka;jogurt naturalny;mleko
312,0.063,jogurt naturalny;mleko;banany
313,0.076,ser żółty;ogórki;mleko
314,0.067,ziemniaki;jabłka;chleb pełnoziarnisty
315,0.030,ziemniaki;oliwa z oliwek;jajka
316,0.061,ser żółty;chleb pełnoziarnisty;banany
317,0.027,oliwa z oliwek;jabłka;banany
318,0.033,oliwa z oliwek;jogurt naturalny;mleko
319,0.022,płatki owsiane;mleko;banany
320,0.059,jabłka;ser żółty;chleb pełnoziarnisty
321,0.079,jabłka;ryż brązowy;chleb pełnoziarnisty
322,0.061,ser żółty;jogurt naturalny;banany
323,0.056,jabłka;jajka;banany
324,0.020,pomidory;ser żółty;banany
325,0.072,jajka;ryż brązowy;mleko
326,0.027,jabłka;płatki owsiane;banany
327,0.031,oliwa z oliwek;jajka;jogurt naturalny
328,0.020,płatki owsiane;ogórki;banany
329,0.026,ziemniaki;chleb pełnoziarnisty;kurczak
330,0.025,ser żółty;płatki owsiane;ryż brązowy
331,0.024,ryż brązowy;ogórki;makaron pełnoziarnisty
332,0.027,jabłka;jogurt naturalny;kurczak
333,0.060,ziemniaki;chleb pełnoziarnisty;ogórki
334,0.027,jabłka;płatki owsiane;ogórki
335,0.021,oliwa z oliwek;jabłka;ogórki
336,0.035,jabłka;płatki owsiane;jogurt naturalny
337,0.027,oliwa z oliwek;jabłka;mleko
338,0.029,płatki owsiane;ryż brązowy;mleko
339,0.025,płatki owsiane;ryż brązowy;ogórki
340,0.067,jajka;ryż brązowy;jogurt naturalny
341,0.023,jajka;ogórki;makaron pełnoziarnisty
342,0.074,ziemniaki;jajka;chleb pełnoziarnisty
343,0.031,jabłka;płatki owsiane;jajka
344,0.021,ziemniaki;ogórki;kurczak
345,0.024,mleko;banany;kurczak
346,0.073,ser żółty;chleb pełnoziarnisty;mleko
347,0.069,ser żółty;chleb pełnoziarnisty;ogórki
348,0.023,pomidory;ryż brązowy;jogurt naturalny
349,0.023,ser żółty;płatki owsiane;chleb pełnoziarnisty
350,0.026,ziemniaki;płatki owsiane;ryż brązowy
351,0.055,ziemniaki;jogurt naturalny;banany
352,0.029,oliwa z oliwek;jogurt naturalny;ogórki
353,0.057,ziemniaki;jabłka;banany
354,0.065,jajka;ryż brązowy;ogórki
355,0.056,ziemniaki;ryż brązowy;jogurt naturalny
356,0.020,pomidory;ser żółty;jogurt naturalny
357,0.057,ryż brązowy;jogurt naturalny;banany
358,0.031,pomidory;ryż brązowy;mleko
359,0.060,jabłka;ryż brązowy;ogórki
360,0.025,ser żółty;ogórki;kurczak
361,0.027,ser żółty;płatki owsiane;jogurt naturalny
362,0.024,oliwa z oliwek;chleb pełnoziarnisty;ogórki
363,0.069,ser żółty;ryż brązowy;jogurt naturalny
364,0.020,jogurt naturalny;ogórki;kurczak
365,0.063,jogurt naturalny;ogórki;mleko
366,0.025,oliwa z oliwek;jajka;mleko
367,0.026,pomidory;ogórki;banany
368,0.068,jabłka;jajka;ryż brązowy
369,0.024,ziemniaki;ser żółty;płatki owsiane
370,0.073,ser żółty;mleko;banany
371,0.026,oliwa z oliwek;jajka;ryż brązowy
372,0.021,ziemniaki;oliwa z oliwek;jabłka
373,0.029,ser żółty;jajka;kurczak
374,0.059,jabłka;jogurt naturalny;ogórki
375,0.061,ser żółty;ryż brązowy;banany
376,0.024,płatki owsiane;jajka;banany
377,0.059,jabłka;jajka;mleko
378,0.072,ser żółty;jajka;chleb pełnoziarnisty
379,0.029,oliwa z oliwek;ser żółty;chleb pełnoziarnisty
380,0.026,ziemniaki;pomidory;ogórki
381,0.059,ziemniaki;ser żółty;chleb pełnoziarnisty
382,0.068,jabłka;ser żółty;ryż brązowy
383,0.023,pomidory;chleb pełnoziarnisty;jogurt naturalny
384,0.028,jabłka;jajka;kurczak
385,0.021,pomidory;jabłka;mleko
386,0.030,ziemniaki;jabłka;płatki owsiane
387,0.025,płatki owsiane;jajka;ogórki
388,0.063,ser żółty;jogurt naturalny;ogórki
389,0.024,jabłka;ogórki;makaron pełnoziarnisty
390,0.025,jabłka;chleb pełnoziarnisty;kurczak
391,0.024,płatki owsiane;chleb pełnoziarnisty;jogurt naturalny
392,0.076,ser żółty;jajka;ryż brązowy
393,0.070,ziemniaki;jabłka;jogurt naturalny
394,0.029,płatki owsiane;jajka;jogurt naturalny
395,0.053,jabłka;chleb pełnoziarnisty;ogórki
396,0.071,ryż brązowy;chleb pełnoziarnisty;jogurt naturalny
397,0.020,pomidory;jajka;banany
398,0.020,jogurt naturalny;ogórki;makaron pełnoziarnisty
399,0.070,chleb pełnoziarnisty;mleko;banany
400,0.063,ryż brązowy;mleko;banany
401,0.075,jajka;ryż brązowy;chleb pełnoziarnisty
402,0.024,ziemniaki;oliwa z oliwek;banany
403,0.030,ziemniaki;płatki owsiane;jogurt naturalny
404,0.021,jabłka;banany;makaron pełnoziarnisty
405,0.059,chleb pełnoziarnisty;ogórki;banany
406,0.059,ziemniaki;chleb pełnoziarnisty;banany
407,0.062,jabłka;ryż brązowy;banany
408,0.029,płatki owsiane;chleb pełnoziarnisty;mleko
409,0.026,oliwa z oliwek;ryż brązowy;banany
410,0.060,ziemniaki;ogórki;mleko
411,0.054,jajka;ogórki;mleko
412,0.026,chleb pełnoziarnisty;mleko;makaron pełnoziarnisty
413,0.025,ser żółty;płatki owsiane;banany
414,0.025,jabłka;ogórki;kurczak
415,0.061,ryż brązowy;chleb pełnoziarnisty;banany
416,0.067,ziemniaki;ser żółty;ogórki
417,0.061,ziemniaki;jabłka;ogórki
418,0.061,ziemniaki;mleko;banany
419,0.021,pomidory;jajka;jogurt naturalny
420,0.031,jajka;jogurt naturalny;kurczak
421,0.032,oliwa z oliwek;jogurt naturalny;banany
422,0.023,oliwa z oliwek;chleb pełnoziarnisty;banany
423,0.030,pomidory;jajka;chleb pełnoziarnisty
424,0.032,oliwa z oliwek;ser żółty;mleko
425,0.069,jabłka;ryż brązowy;jogurt naturalny
426,0.032,ziemniaki;płatki owsiane;mleko
427,0.075,jabłka;chleb pełnoziarnisty;mleko
428,0.023,ziemniaki;pomidory;banany
429,0.070,jajka;jogurt naturalny;mleko
430,0.054,ziemniaki;ser żółty;jogurt naturalny
431,0.022,ser żółty;ogórki;makaron pełnoziarnisty
432,0.024,pomidory;jogurt naturalny;banany
433,0.074,ziemniaki;ryż brązowy;ogórki
434,0.022,ziemniaki;mleko;makaron pełnoziarnisty
435,0.027,jabłka;płatki owsiane;chleb pełnoziarnisty
436,0.020,oliwa z oliwek;płatki owsiane;chleb pełnoziarnisty
437,0.031,ser żółty;płatki owsiane;mleko
438,0.026,ser żółty;płatki owsiane;ogórki
439,0.025,pomidory;chleb pełnoziarnisty;mleko
440,0.065,ziemniaki;ser żółty;banany
441,0.071,jajka;chleb pełnoziarnisty;mleko
442,0.026,oliwa z oliwek;chleb pełnoziarnisty;jogurt naturalny
443,0.023,jabłka;ryż brązowy;kurczak
444,0.074,chleb pełnoziarnisty;jogurt naturalny;mleko
445,0.025,jajka;ogórki;kurczak
446,0.073,ryż brązowy;chleb pełnoziarnisty;ogórki
447,0.034,oliwa z oliwek;ryż brązowy;jogurt naturalny
448,0.066,ryż brązowy;jogurt naturalny;ogórki
449,0.031,płatki owsiane;jajka;chleb pełnoziarnisty
450,0.025,chleb pełnoziarnisty;mleko;kurczak
451,0.065,ziemniaki;jabłka;ser żółty
452,0.025,pomidory;jabłka;jogurt naturalny
453,0.023,oliwa z oliwek;ser żółty;banany
454,0.063,ziemniaki;ryż brązowy;mleko
455,0.084,ziemniaki;jajka;mleko
456,0.024,pomidory;jabłka;ryż brązowy
457,0.023,ser żółty;jogurt naturalny;kurczak
458,0.021,jajka;jogurt naturalny;makaron pełnoziarnisty
459,0.024,oliwa z oliwek;jabłka;chleb pełnoziarnisty
460,0.066,jajka;chleb pełnoziarnisty;ogórki
461,0.071,ser żółty;ryż brązowy;chleb pełnoziarnisty
462,0.062,ziemniaki;ser żółty;ryż brązowy
463,0.024,oliwa z oliwek;ser żółty;ogórki
464,0.020,ryż brązowy;banany;makaron pełnoziarnisty
465,0.065,jabłka;ogórki;banany
466,0.062,ziemniaki;jajka;ogórki
467,0.024,ziemniaki;oliwa z oliwek;ryż brązowy
468,0.026,ogórki;mleko;makaron pełnoziarnisty
469,0.027,ziemniaki;jajka;kurczak
470,0.059,chleb pełnoziarnisty;jogurt naturalny;banany
471,0.055,jajka;jogurt naturalny;ogórki
472,0.030,ziemniaki;oliwa z oliwek;chleb pełnoziarnisty
473,0.020,pomidory;ogórki;kurczak
474,0.025,ziemniaki;ogórki;makaron pełnoziarnisty
475,0.023,jabłka;chleb pełnoziarnisty;makaron pełnoziarnisty
476,0.022,ryż brązowy;ogórki;kurczak
477,0.022,oliwa z oliwek;ryż brązowy;ogórki
478,0.057,jajka;jogurt naturalny;banany
479,0.023,pomidory;chleb pełnoziarnisty;kurczak
480,0.024,płatki owsiane;jogurt naturalny;ogórki
481,0.064,ser żółty;jajka;ogórki
482,0.036,płatki owsiane;jogurt naturalny;mleko
483,0.035,pomidory;jogurt naturalny;mleko
484,0.022,ziemniaki;ryż brązowy;makaron pełnoziarnisty
485,0.066,jabłka;ser żółty;jajka
486,0.022,pomidory;jabłka;banany
487,0.056,ziemniaki;ryż brązowy;banany
488,0.021,ryż brązowy;mleko;kurczak
489,0.021,oliwa z oliwek;ogórki;mleko
