id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
38,jajka;makaron pełnoziarnisty,0.067,ryż brązowy,0.412,0.026,0.388,0.942
39,ryż brązowy;makaron pełnoziarnisty,0.067,jajka,0.432,0.026,0.388,0.898
40,jabłka;płatki owsiane,0.082,mleko,0.434,0.028,0.341,0.787
41,jabłka;mleko,0.170,płatki owsiane,0.210,0.028,0.165,0.784
42,płatki owsiane;mleko,0.079,jabłka,0.407,0.028,0.354,0.871
43,pomidory;ogórki,0.068,mleko,0.434,0.020,0.294,0.678
44,pomidory;mleko,0.082,ogórki,0.396,0.020,0.244,0.616
45,ogórki;mleko,0.162,pomidory,0.196,0.020,0.123,0.630
46,oliwa z oliwek;jajka,0.071,banany,0.389,0.024,0.338,0.869
47,oliwa z oliwek;banany,0.069,jajka,0.432,0.024,0.348,0.805
48,jajka;banany,0.157,oliwa z oliwek,0.196,0.024,0.153,0.780
49,oliwa z oliwek;chleb pełnoziarnisty,0.075,makaron pełnoziarnisty,0.183,0.012,0.160,0.874
50,oliwa z oliwek;makaron pełnoziarnisty,0.036,chleb pełnoziarnisty,0.414,0.012,0.333,0.805
51,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,oliwa z oliwek,0.196,0.012,0.171,0.875
52,płatki owsiane;jajka,0.080,ryż brązowy,0.412,0.025,0.313,0.758
53,płatki owsiane;ryż brązowy,0.070,jajka,0.432,0.025,0.357,0.827
54,jajka;ryż brązowy,0.171,płatki owsiane,0.210,0.025,0.146,0.696
55,ziemniaki;chleb pełnoziarnisty,0.164,mleko,0.434,0.073,0.445,1.026
56,ziemniaki;mleko,0.178,chleb pełnoziarnisty,0.414,0.073,0.410,0.991
57,chleb pełnoziarnisty;mleko,0.177,ziemniaki,0.401,0.073,0.412,1.029
58,chleb pełnoziarnisty;banany,0.158,makaron pełnoziarnisty,0.183,0.021,0.133,0.726
59,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,banany,0.389,0.021,0.300,0.771
60,banany;makaron pełnoziarnisty,0.057,chleb pełnoziarnisty,0.414,0.021,0.368,0.890
61,pomidory;oliwa z oliwek,0.042,jogurt naturalny,0.434,0.016,0.381,0.878
62,oliwa z oliwek;jogurt naturalny,0.085,pomidory,0.196,0.016,0.188,0.960
63,pomidory;jogurt naturalny,0.074,oliwa z oliwek,0.196,0.016,0.216,1.103
64,jajka;chleb pełnoziarnisty,0.180,jogurt naturalny,0.434,0.064,0.356,0.819
65,jajka;jogurt naturalny,0.180,chleb pełnoziarnisty,0.414,0.064,0.356,0.859
66,chleb pełnoziarnisty;jogurt naturalny,0.169,jajka,0.432,0.064,0.379,0.877
67,ser żółty;jajka,0.176,jogurt naturalny,0.434,0.077,0.438,1.008
68,ser żółty;jogurt naturalny,0.175,jajka,0.432,0.077,0.440,1.019
69,jajka;jogurt naturalny,0.180,ser żółty,0.418,0.077,0.428,1.023
70,płatki owsiane;ogórki,0.074,mleko,0.434,0.024,0.324,0.747
71,płatki owsiane;mleko,0.079,ogórki,0.396,0.024,0.304,0.767
72,ogórki;mleko,0.162,płatki owsiane,0.210,0.024,0.148,0.705
73,ogórki;banany,0.156,makaron pełnoziarnisty,0.183,0.021,0.135,0.736
74,ogórki;makaron pełnoziarnisty,0.070,banany,0.389,0.021,0.300,0.771
75,banany;makaron pełnoziarnisty,0.057,ogórki,0.396,0.021,0.368,0.930
76,ziemniaki;jabłka,0.160,jajka,0.432,0.065,0.406,0.940
77,ziemniaki;jajka,0.177,jabłka,0.407,0.065,0.367,0.902
78,jabłka;jajka,0.167,ziemniaki,0.401,0.065,0.389,0.971
79,ziemniaki;oliwa z oliwek,0.071,makaron pełnoziarnisty,0.183,0.012,0.169,0.924
80,ziemniaki;makaron pełnoziarnisty,0.062,oliwa z oliwek,0.196,0.012,0.194,0.987
81,oliwa z oliwek;makaron pełnoziarnisty,0.036,ziemniaki,0.401,0.012,0.333,0.831
82,pomidory;jajka,0.070,mleko,0.434,0.023,0.329,0.757
83,pomidory;mleko,0.082,jajka,0.432,0.023,0.280,0.649
84,jajka;mleko,0.171,pomidory,0.196,0.023,0.135,0.686
85,ziemniaki;jabłka,0.160,kurczak,0.192,0.020,0.125,0.651
86,ziemniaki;kurczak,0.065,jabłka,0.407,0.020,0.308,0.756
87,jabłka;kurczak,0.066,ziemniaki,0.401,0.020,0.303,0.756
88,pomidory;jogurt naturalny,0.074,ogórki,0.396,0.021,0.284,0.717
89,pomidory;ogórki,0.068,jogurt naturalny,0.434,0.021,0.309,0.712
90,jogurt naturalny;ogórki,0.162,pomidory,0.196,0.021,0.130,0.661
91,ser żółty;jogurt naturalny,0.175,mleko,0.434,0.080,0.457,1.053
92,ser żółty;mleko,0.194,jogurt naturalny,0.434,0.080,0.412,0.950
93,jogurt naturalny;mleko,0.184,ser żółty,0.418,0.080,0.435,1.040
94,oliwa z oliwek;ogórki,0.063,banany,0.389,0.015,0.238,0.612
95,oliwa z oliwek;banany,0.069,ogórki,0.396,0.015,0.217,0.549
96,ogórki;banany,0.156,oliwa z oliwek,0.196,0.015,0.096,0.491
97,ziemniaki;ser żółty,0.159,makaron pełnoziarnisty,0.183,0.020,0.126,0.687
98,ziemniaki;makaron pełnoziarnisty,0.062,ser żółty,0.418,0.020,0.323,0.772
99,ser żółty;makaron pełnoziarnisty,0.063,ziemniaki,0.401,0.020,0.317,0.792
100,jabłka;ser żółty,0.163,jogurt naturalny,0.434,0.070,0.429,0.990
101,jabłka;jogurt naturalny,0.177,ser żółty,0.418,0.070,0.395,0.946
102,ser żółty;jogurt naturalny,0.175,jabłka,0.407,0.070,0.400,0.983
103,jabłka;mleko,0.170,makaron pełnoziarnisty,0.183,0.023,0.135,0.739
104,jabłka;makaron pełnoziarnisty,0.066,mleko,0.434,0.023,0.348,0.803
105,mleko;makaron pełnoziarnisty,0.071,jabłka,0.407,0.023,0.324,0.796
106,ziemniaki;mleko,0.178,kurczak,0.192,0.021,0.118,0.614
107,ziemniaki;kurczak,0.065,mleko,0.434,0.021,0.323,0.744
108,mleko;kurczak,0.068,ziemniaki,0.401,0.021,0.309,0.770
109,jogurt naturalny;ogórki,0.162,banany,0.389,0.062,0.383,0.984
110,jogurt naturalny;banany,0.156,ogórki,0.396,0.062,0.397,1.004
111,ogórki;banany,0.156,jogurt naturalny,0.434,0.062,0.397,0.916
112,pomidory;jabłka,0.057,ogórki,0.396,0.020,0.351,0.886
113,pomidory;ogórki,0.068,jabłka,0.407,0.020,0.294,0.723
114,jabłka;ogórki,0.150,pomidory,0.196,0.020,0.133,0.680
115,ziemniaki;płatki owsiane,0.080,chleb pełnoziarnisty,0.414,0.031,0.388,0.936
116,ziemniaki;chleb pełnoziarnisty,0.164,płatki owsiane,0.210,0.031,0.189,0.900
117,płatki owsiane;chleb pełnoziarnisty,0.073,ziemniaki,0.401,0.031,0.425,1.059
118,ryż brązowy;chleb pełnoziarnisty,0.176,kurczak,0.192,0.019,0.108,0.562
119,ryż brązowy;kurczak,0.060,chleb pełnoziarnisty,0.414,0.019,0.317,0.765
120,chleb pełnoziarnisty;kurczak,0.076,ryż brązowy,0.412,0.019,0.250,0.607
121,ziemniaki;jabłka,0.160,ryż brązowy,0.412,0.062,0.388,0.941
122,ziemniaki;ryż brązowy,0.156,jabłka,0.407,0.062,0.397,0.977
123,jabłka;ryż brązowy,0.175,ziemniaki,0.401,0.062,0.354,0.884
124,oliwa z oliwek;jogurt naturalny,0.085,makaron pełnoziarnisty,0.183,0.013,0.153,0.836
125,oliwa z oliwek;makaron pełnoziarnisty,0.036,jogurt naturalny,0.434,0.013,0.361,0.832
126,jogurt naturalny;makaron pełnoziarnisty,0.057,oliwa z oliwek,0.196,0.013,0.228,1.164
127,oliwa z oliwek;ser żółty,0.075,jogurt naturalny,0.434,0.028,0.373,0.860
128,oliwa z oliwek;jogurt naturalny,0.085,ser żółty,0.418,0.028,0.329,0.788
129,ser żółty;jogurt naturalny,0.175,oliwa z oliwek,0.196,0.028,0.160,0.816
130,jogurt naturalny;mleko,0.184,makaron pełnoziarnisty,0.183,0.018,0.098,0.535
131,jogurt naturalny;makaron pełnoziarnisty,0.057,mleko,0.434,0.018,0.316,0.728
132,mleko;makaron pełnoziarnisty,0.071,jogurt naturalny,0.434,0.018,0.254,0.584
133,ziemniaki;jajka,0.177,jogurt naturalny,0.434,0.076,0.429,0.989
134,ziemniaki;jogurt naturalny,0.165,jajka,0.432,0.076,0.461,1.066
135,jajka;jogurt naturalny,0.180,ziemniaki,0.401,0.076,0.422,1.053
136,ser żółty;mleko,0.194,kurczak,0.192,0.025,0.129,0.671
137,ser żółty;kurczak,0.065,mleko,0.434,0.025,0.385,0.886
138,mleko;kurczak,0.068,ser żółty,0.418,0.025,0.368,0.880
139,pomidory;chleb pełnoziarnisty,0.076,ogórki,0.396,0.027,0.355,0.897
140,pomidory;ogórki,0.068,chleb pełnoziarnisty,0.414,0.027,0.397,0.959
141,chleb pełnoziarnisty;ogórki,0.163,pomidory,0.196,0.027,0.166,0.845
142,jabłka;ser żółty,0.163,banany,0.389,0.067,0.411,1.057
143,jabłka;banany,0.160,ser żółty,0.418,0.067,0.419,1.002
144,ser żółty;banany,0.163,jabłka,0.407,0.067,0.411,1.010
145,jabłka;chleb pełnoziarnisty,0.162,jogurt naturalny,0.434,0.074,0.457,1.053
146,jabłka;jogurt naturalny,0.177,chleb pełnoziarnisty,0.414,0.074,0.418,1.010
147,chleb pełnoziarnisty;jogurt naturalny,0.169,jabłka,0.407,0.074,0.438,1.076
148,ziemniaki;pomidory,0.075,makaron pełnoziarnisty,0.183,0.015,0.200,1.093
149,ziemniaki;makaron pełnoziarnisty,0.062,pomidory,0.196,0.015,0.242,1.234
150,pomidory;makaron pełnoziarnisty,0.042,ziemniaki,0.401,0.015,0.357,0.891
151,ziemniaki;ryż brązowy,0.156,kurczak,0.192,0.017,0.109,0.568
152,ziemniaki;kurczak,0.065,ryż brązowy,0.412,0.017,0.262,0.635
153,ryż brązowy;kurczak,0.060,ziemniaki,0.401,0.017,0.283,0.707
154,ryż brązowy;jogurt naturalny,0.172,mleko,0.434,0.075,0.436,1.005
155,ryż brązowy;mleko,0.181,jogurt naturalny,0.434,0.075,0.414,0.955
156,jogurt naturalny;mleko,0.184,ryż brązowy,0.412,0.075,0.408,0.989
157,pomidory;jabłka,0.057,płatki owsiane,0.210,0.013,0.228,1.086
158,pomidory;płatki owsiane,0.045,jabłka,0.407,0.013,0.289,0.710
159,jabłka;płatki owsiane,0.082,pomidory,0.196,0.013,0.159,0.809
160,pomidory;płatki owsiane,0.045,banany,0.389,0.015,0.333,0.857
161,pomidory;banany,0.066,płatki owsiane,0.210,0.015,0.227,1.082
162,płatki owsiane;banany,0.067,pomidory,0.196,0.015,0.224,1.142
163,ser żółty;jajka,0.176,banany,0.389,0.068,0.386,0.993
164,ser żółty;banany,0.163,jajka,0.432,0.068,0.417,0.966
165,jajka;banany,0.157,ser żółty,0.418,0.068,0.433,1.036
166,pomidory;ser żółty,0.065,kurczak,0.192,0.012,0.185,0.962
167,pomidory;kurczak,0.049,ser żółty,0.418,0.012,0.245,0.586
168,ser żółty;kurczak,0.065,pomidory,0.196,0.012,0.185,0.942
169,banany;mleko,0.165,makaron pełnoziarnisty,0.183,0.024,0.145,0.795
170,mleko;makaron pełnoziarnisty,0.071,banany,0.389,0.024,0.338,0.869
171,banany;makaron pełnoziarnisty,0.057,mleko,0.434,0.024,0.421,0.970
172,pomidory;ryż brązowy,0.063,ogórki,0.396,0.021,0.333,0.842
173,pomidory;ogórki,0.068,ryż brązowy,0.412,0.021,0.309,0.750
174,ryż brązowy;ogórki,0.169,pomidory,0.196,0.021,0.124,0.634
175,ziemniaki;jogurt naturalny,0.165,mleko,0.434,0.075,0.455,1.047
176,ziemniaki;mleko,0.178,jogurt naturalny,0.434,0.075,0.421,0.971
177,jogurt naturalny;mleko,0.184,ziemniaki,0.401,0.075,0.408,1.016
178,chleb pełnoziarnisty;ogórki,0.163,makaron pełnoziarnisty,0.183,0.026,0.160,0.872
179,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,ogórki,0.396,0.026,0.371,0.938
180,ogórki;makaron pełnoziarnisty,0.070,chleb pełnoziarnisty,0.414,0.026,0.371,0.897
181,jabłka;ryż brązowy,0.175,mleko,0.434,0.070,0.400,0.922
182,jabłka;mleko,0.170,ryż brązowy,0.412,0.070,0.412,0.999
183,ryż brązowy;mleko,0.181,jabłka,0.407,0.070,0.387,0.950
184,chleb pełnoziarnisty;jogurt naturalny,0.169,kurczak,0.192,0.026,0.154,0.801
185,chleb pełnoziarnisty;kurczak,0.076,jogurt naturalny,0.434,0.026,0.342,0.788
186,jogurt naturalny;kurczak,0.076,chleb pełnoziarnisty,0.414,0.026,0.342,0.826
187,płatki owsiane;banany,0.067,makaron pełnoziarnisty,0.183,0.013,0.194,1.060
188,płatki owsiane;makaron pełnoziarnisty,0.046,banany,0.389,0.013,0.283,0.727
189,banany;makaron pełnoziarnisty,0.057,płatki owsiane,0.210,0.013,0.228,1.086
190,ziemniaki;oliwa z oliwek,0.071,pomidory,0.196,0.017,0.239,1.222
191,ziemniaki;pomidory,0.075,oliwa z oliwek,0.196,0.017,0.227,1.156
192,pomidory;oliwa z oliwek,0.042,ziemniaki,0.401,0.017,0.405,1.009
193,ziemniaki;oliwa z oliwek,0.071,mleko,0.434,0.025,0.352,0.811
194,ziemniaki;mleko,0.178,oliwa z oliwek,0.196,0.025,0.140,0.717
195,oliwa z oliwek;mleko,0.075,ziemniaki,0.401,0.025,0.333,0.831
196,oliwa z oliwek;jabłka,0.066,ser żółty,0.418,0.024,0.364,0.870
197,oliwa z oliwek;ser żółty,0.075,jabłka,0.407,0.024,0.320,0.786
198,jabłka;ser żółty,0.163,oliwa z oliwek,0.196,0.024,0.147,0.751
199,jajka;mleko,0.171,makaron pełnoziarnisty,0.183,0.022,0.129,0.703
200,jajka;makaron pełnoziarnisty,0.067,mleko,0.434,0.022,0.328,0.757
201,mleko;makaron pełnoziarnisty,0.071,jajka,0.432,0.022,0.310,0.717
202,ryż brązowy;chleb pełnoziarnisty,0.176,mleko,0.434,0.078,0.443,1.021
203,ryż brązowy;mleko,0.181,chleb pełnoziarnisty,0.414,0.078,0.431,1.041
204,chleb pełnoziarnisty;mleko,0.177,ryż brązowy,0.412,0.078,0.441,1.070
205,oliwa z oliwek;ser żółty,0.075,makaron pełnoziarnisty,0.183,0.013,0.173,0.947
206,oliwa z oliwek;makaron pełnoziarnisty,0.036,ser żółty,0.418,0.013,0.361,0.864
207,ser żółty;makaron pełnoziarnisty,0.063,oliwa z oliwek,0.196,0.013,0.206,1.053
208,płatki owsiane;ogórki,0.074,kurczak,0.192,0.014,0.189,0.985
209,płatki owsiane;kurczak,0.046,ogórki,0.396,0.014,0.304,0.769
210,ogórki;kurczak,0.065,płatki owsiane,0.210,0.014,0.215,1.026
211,pomidory;ser żółty,0.065,jajka,0.432,0.020,0.308,0.712
212,pomidory;jajka,0.070,ser żółty,0.418,0.020,0.286,0.684
213,ser żółty;jajka,0.176,pomidory,0.196,0.020,0.114,0.580
214,ziemniaki;ryż brązowy,0.156,chleb pełnoziarnisty,0.414,0.068,0.436,1.053
215,ziemniaki;chleb pełnoziarnisty,0.164,ryż brązowy,0.412,0.068,0.415,1.006
216,ryż brązowy;chleb pełnoziarnisty,0.176,ziemniaki,0.401,0.068,0.386,0.964
217,ziemniaki;ogórki,0.153,banany,0.389,0.062,0.405,1.042
218,ziemniaki;banany,0.146,ogórki,0.396,0.062,0.425,1.072
219,ogórki;banany,0.156,ziemniaki,0.401,0.062,0.397,0.991
220,jabłka;płatki owsiane,0.082,makaron pełnoziarnisty,0.183,0.016,0.195,1.066
221,jabłka;makaron pełnoziarnisty,0.066,płatki owsiane,0.210,0.016,0.242,1.154
222,płatki owsiane;makaron pełnoziarnisty,0.046,jabłka,0.407,0.016,0.348,0.855
223,jabłka;jajka,0.167,ogórki,0.396,0.051,0.305,0.771
224,jabłka;ogórki,0.150,jajka,0.432,0.051,0.340,0.787
225,jajka;ogórki,0.155,jabłka,0.407,0.051,0.329,0.808
226,jabłka;płatki owsiane,0.082,kurczak,0.192,0.016,0.195,1.016
227,jabłka;kurczak,0.066,płatki owsiane,0.210,0.016,0.242,1.154
228,płatki owsiane;kurczak,0.046,jabłka,0.407,0.016,0.348,0.855
229,ziemniaki;jajka,0.177,makaron pełnoziarnisty,0.183,0.016,0.090,0.494
230,ziemniaki;makaron pełnoziarnisty,0.062,jajka,0.432,0.016,0.258,0.597
231,jajka;makaron pełnoziarnisty,0.067,ziemniaki,0.401,0.016,0.239,0.596
232,ogórki;mleko,0.162,kurczak,0.192,0.020,0.123,0.643
233,ogórki;kurczak,0.065,mleko,0.434,0.020,0.308,0.709
234,mleko;kurczak,0.068,ogórki,0.396,0.020,0.294,0.743
235,ziemniaki;jajka,0.177,banany,0.389,0.062,0.350,0.900
236,ziemniaki;banany,0.146,jajka,0.432,0.062,0.425,0.983
237,jajka;banany,0.157,ziemniaki,0.401,0.062,0.395,0.985
238,ser żółty;płatki owsiane,0.078,jajka,0.432,0.032,0.410,0.950
239,ser żółty;jajka,0.176,płatki owsiane,0.210,0.032,0.182,0.866
240,płatki owsiane;jajka,0.080,ser żółty,0.418,0.032,0.400,0.957
241,ziemniaki;chleb pełnoziarnisty,0.164,makaron pełnoziarnisty,0.183,0.018,0.110,0.600
242,ziemniaki;makaron pełnoziarnisty,0.062,chleb pełnoziarnisty,0.414,0.018,0.290,0.701
243,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,ziemniaki,0.401,0.018,0.257,0.641
244,jajka;chleb pełnoziarnisty,0.180,banany,0.389,0.067,0.372,0.957
245,jajka;banany,0.157,chleb pełnoziarnisty,0.414,0.067,0.427,1.031
246,chleb pełnoziarnisty;banany,0.158,jajka,0.432,0.067,0.424,0.982
247,oliwa z oliwek;ryż brązowy,0.070,makaron pełnoziarnisty,0.183,0.010,0.143,0.781
248,oliwa z oliwek;makaron pełnoziarnisty,0.036,ryż brązowy,0.412,0.010,0.278,0.674
249,ryż brązowy;makaron pełnoziarnisty,0.067,oliwa z oliwek,0.196,0.010,0.149,0.761
250,ser żółty;ryż brązowy,0.171,mleko,0.434,0.076,0.444,1.024
251,ser żółty;mleko,0.194,ryż brązowy,0.412,0.076,0.392,0.951
252,ryż brązowy;mleko,0.181,ser żółty,0.418,0.076,0.420,1.005
253,pomidory;banany,0.066,kurczak,0.192,0.015,0.227,1.184
254,pomidory;kurczak,0.049,banany,0.389,0.015,0.306,0.787
255,banany;kurczak,0.066,pomidory,0.196,0.015,0.227,1.160
256,płatki owsiane;ryż brązowy,0.070,chleb pełnoziarnisty,0.414,0.023,0.329,0.794
257,płatki owsiane;chleb pełnoziarnisty,0.073,ryż brązowy,0.412,0.023,0.315,0.765
258,ryż brązowy;chleb pełnoziarnisty,0.176,płatki owsiane,0.210,0.023,0.131,0.622
259,oliwa z oliwek;chleb pełnoziarnisty,0.075,mleko,0.434,0.024,0.320,0.737
260,oliwa z oliwek;mleko,0.075,chleb pełnoziarnisty,0.414,0.024,0.320,0.773
261,chleb pełnoziarnisty;mleko,0.177,oliwa z oliwek,0.196,0.024,0.136,0.692
262,pomidory;płatki owsiane,0.045,jogurt naturalny,0.434,0.019,0.422,0.973
263,pomidory;jogurt naturalny,0.074,płatki owsiane,0.210,0.019,0.257,1.223
264,płatki owsiane;jogurt naturalny,0.079,pomidory,0.196,0.019,0.241,1.227
265,ziemniaki;pomidory,0.075,jogurt naturalny,0.434,0.024,0.320,0.737
266,ziemniaki;jogurt naturalny,0.165,pomidory,0.196,0.024,0.145,0.742
267,pomidory;jogurt naturalny,0.074,ziemniaki,0.401,0.024,0.324,0.809
268,ziemniaki;pomidory,0.075,ser żółty,0.418,0.026,0.347,0.829
269,ziemniaki;ser żółty,0.159,pomidory,0.196,0.026,0.164,0.834
270,pomidory;ser żółty,0.065,ziemniaki,0.401,0.026,0.400,0.998
271,ziemniaki;jogurt naturalny,0.165,kurczak,0.192,0.025,0.152,0.789
272,ziemniaki;kurczak,0.065,jogurt naturalny,0.434,0.025,0.385,0.886
273,jogurt naturalny;kurczak,0.076,ziemniaki,0.401,0.025,0.329,0.820
274,jabłka;jogurt naturalny,0.177,makaron pełnoziarnisty,0.183,0.015,0.085,0.463
275,jabłka;makaron pełnoziarnisty,0.066,jogurt naturalny,0.434,0.015,0.227,0.524
276,jogurt naturalny;makaron pełnoziarnisty,0.057,jabłka,0.407,0.015,0.263,0.647
277,pomidory;jabłka,0.057,chleb pełnoziarnisty,0.414,0.018,0.316,0.763
278,pomidory;chleb pełnoziarnisty,0.076,jabłka,0.407,0.018,0.237,0.582
279,jabłka;chleb pełnoziarnisty,0.162,pomidory,0.196,0.018,0.111,0.567
280,ser żółty;chleb pełnoziarnisty,0.160,makaron pełnoziarnisty,0.183,0.020,0.125,0.683
281,ser żółty;makaron pełnoziarnisty,0.063,chleb pełnoziarnisty,0.414,0.020,0.317,0.767
282,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,ser żółty,0.418,0.020,0.286,0.684
283,ser żółty;chleb pełnoziarnisty,0.160,kurczak,0.192,0.020,0.125,0.651
284,ser żółty;kurczak,0.065,chleb pełnoziarnisty,0.414,0.020,0.308,0.743
285,chleb pełnoziarnisty;kurczak,0.076,ser żółty,0.418,0.020,0.263,0.630
286,pomidory;ser żółty,0.065,chleb pełnoziarnisty,0.414,0.023,0.354,0.855
287,pomidory;chleb pełnoziarnisty,0.076,ser żółty,0.418,0.023,0.303,0.724
288,ser żółty;chleb pełnoziarnisty,0.160,pomidory,0.196,0.023,0.144,0.733
289,chleb pełnoziarnisty;ogórki,0.163,mleko,0.434,0.064,0.393,0.905
290,chleb pełnoziarnisty;mleko,0.177,ogórki,0.396,0.064,0.362,0.913
291,ogórki;mleko,0.162,chleb pełnoziarnisty,0.414,0.064,0.395,0.954
292,płatki owsiane;chleb pełnoziarnisty,0.073,ogórki,0.396,0.024,0.329,0.830
293,płatki owsiane;ogórki,0.074,chleb pełnoziarnisty,0.414,0.024,0.324,0.783
294,chleb pełnoziarnisty;ogórki,0.163,płatki owsiane,0.210,0.024,0.147,0.701
295,oliwa z oliwek;mleko,0.075,kurczak,0.192,0.020,0.267,1.389
296,oliwa z oliwek;kurczak,0.047,mleko,0.434,0.020,0.426,0.980
297,mleko;kurczak,0.068,oliwa z oliwek,0.196,0.020,0.294,1.501
298,pomidory;ser żółty,0.065,ogórki,0.396,0.020,0.308,0.777
299,pomidory;ogórki,0.068,ser żółty,0.418,0.020,0.294,0.704
300,ser żółty;ogórki,0.172,pomidory,0.196,0.020,0.116,0.593
301,chleb pełnoziarnisty;jogurt naturalny,0.169,ogórki,0.396,0.065,0.385,0.971
302,chleb pełnoziarnisty;ogórki,0.163,jogurt naturalny,0.434,0.065,0.399,0.919
303,jogurt naturalny;ogórki,0.162,chleb pełnoziarnisty,0.414,0.065,0.401,0.969
304,oliwa z oliwek;jabłka,0.066,ryż brązowy,0.412,0.026,0.394,0.956
305,oliwa z oliwek;ryż brązowy,0.070,jabłka,0.407,0.026,0.371,0.913
306,jabłka;ryż brązowy,0.175,oliwa z oliwek,0.196,0.026,0.149,0.758
307,ziemniaki;płatki owsiane,0.080,ogórki,0.396,0.026,0.325,0.821
308,ziemniaki;ogórki,0.153,płatki owsiane,0.210,0.026,0.170,0.809
309,płatki owsiane;ogórki,0.074,ziemniaki,0.401,0.026,0.351,0.876
310,oliwa z oliwek;jabłka,0.066,makaron pełnoziarnisty,0.183,0.011,0.167,0.911
311,oliwa z oliwek;makaron pełnoziarnisty,0.036,jabłka,0.407,0.011,0.306,0.751
312,jabłka;makaron pełnoziarnisty,0.066,oliwa z oliwek,0.196,0.011,0.167,0.850
313,ser żółty;mleko,0.194,makaron pełnoziarnisty,0.183,0.030,0.155,0.845
314,ser żółty;makaron pełnoziarnisty,0.063,mleko,0.434,0.030,0.476,1.097
315,mleko;makaron pełnoziarnisty,0.071,ser żółty,0.418,0.030,0.423,1.011
316,jogurt naturalny;mleko,0.184,kurczak,0.192,0.027,0.147,0.764
317,jogurt naturalny;kurczak,0.076,mleko,0.434,0.027,0.355,0.819
318,mleko;kurczak,0.068,jogurt naturalny,0.434,0.027,0.397,0.915
319,jabłka;ryż brązowy,0.175,makaron pełnoziarnisty,0.183,0.029,0.166,0.906
320,jabłka;makaron pełnoziarnisty,0.066,ryż brązowy,0.412,0.029,0.439,1.066
321,ryż brązowy;makaron pełnoziarnisty,0.067,jabłka,0.407,0.029,0.433,1.063
322,ziemniaki;ser żółty,0.159,jajka,0.432,0.064,0.403,0.932
