id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
62,whole milk;root vegetables,0.051,butter,0.059,0.006,0.118,1.994
63,frozen vegetables,0.051,chicken,0.046,0.006,0.118,2.558
64,chocolate,0.051,waffles,0.042,0.006,0.118,2.801
65,whipped/sour cream,0.076,domestic eggs,0.070,0.009,0.118,1.692
66,yogurt;whole milk,0.059,pastry,0.100,0.007,0.119,1.186
67,yogurt;whole milk,0.059,newspapers,0.092,0.007,0.119,1.290
68,pastry,0.100,tropical fruit,0.118,0.012,0.120,1.017
69,brown bread,0.075,newspapers,0.092,0.009,0.120,1.304
70,yogurt,0.158,whipped/sour cream,0.076,0.019,0.120,1.582
71,pip fruit,0.083,sausage,0.109,0.010,0.120,1.105
72,pip fruit,0.083,pastry,0.100,0.010,0.120,1.205
73,shopping bags,0.116,tropical fruit,0.118,0.014,0.121,1.023
74,shopping bags,0.116,canned beer,0.066,0.014,0.121,1.829
75,canned beer,0.066,sausage,0.109,0.008,0.121,1.112
76,rolls/buns;whole milk,0.066,margarine,0.068,0.008,0.121,1.783
77,long life bakery product,0.041,tropical fruit,0.118,0.005,0.122,1.033
78,other vegetables,0.221,sausage,0.109,0.027,0.122,1.121
79,beef,0.057,newspapers,0.092,0.007,0.123,1.335
80,beef,0.057,margarine,0.068,0.007,0.123,1.806
81,beef,0.057,pork,0.065,0.007,0.123,1.889
82,pork,0.065,tropical fruit,0.118,0.008,0.123,1.043
83,pork,0.065,whipped/sour cream,0.076,0.008,0.123,1.619
84,uht-milk,0.040,root vegetables,0.122,0.005,0.125,1.025
85,other vegetables;rolls/buns,0.048,tropical fruit,0.118,0.006,0.125,1.059
86,other vegetables;root vegetables,0.048,shopping bags,0.116,0.006,0.125,1.078
87,other vegetables;root vegetables,0.048,sausage,0.109,0.006,0.125,1.147
88,uht-milk,0.040,citrus fruit,0.095,0.005,0.125,1.316
89,other vegetables;rolls/buns,0.048,citrus fruit,0.095,0.006,0.125,1.316
90,uht-milk,0.040,newspapers,0.092,0.005,0.125,1.359
91,other vegetables;root vegetables,0.048,pip fruit,0.083,0.006,0.125,1.506
92,other vegetables;rolls/buns,0.048,whipped/sour cream,0.076,0.006,0.125,1.645
93,other vegetables;root vegetables,0.048,domestic eggs,0.070,0.006,0.125,1.786
94,other vegetables;rolls/buns,0.048,frankfurter,0.069,0.006,0.125,1.812
95,other vegetables;root vegetables,0.048,pork,0.065,0.006,0.125,1.923
96,bottled water,0.127,root vegetables,0.122,0.016,0.126,1.033
97,yogurt,0.158,sausage,0.109,0.020,0.127,1.161
98,domestic eggs,0.070,sausage,0.109,0.009,0.129,1.180
99,domestic eggs,0.070,butter,0.059,0.009,0.129,2.179
100,pastry,0.100,sausage,0.109,0.013,0.130,1.193
101,newspapers,0.092,root vegetables,0.122,0.012,0.130,1.069
102,white bread,0.046,fruit/vegetable juice,0.079,0.006,0.130,1.651
103,other vegetables,0.221,citrus fruit,0.095,0.029,0.131,1.381
104,yogurt;rolls/buns,0.038,pastry,0.100,0.005,0.132,1.316
105,whipped/sour cream,0.076,citrus fruit,0.095,0.010,0.132,1.385
106,yogurt;rolls/buns,0.038,newspapers,0.092,0.005,0.132,1.430
107,whipped/sour cream,0.076,berries,0.036,0.010,0.132,3.655
108,pip fruit,0.083,bottled water,0.127,0.011,0.133,1.044
109,brown bread,0.075,root vegetables,0.122,0.010,0.133,1.093
110,cream cheese,0.045,root vegetables,0.122,0.006,0.133,1.093
111,brown bread,0.075,pastry,0.100,0.010,0.133,1.333
112,rolls/buns,0.216,bottled water,0.127,0.029,0.134,1.057
113,sugar,0.037,root vegetables,0.122,0.005,0.135,1.108
114,yogurt;whole milk,0.059,sausage,0.109,0.008,0.136,1.244
115,yogurt;whole milk,0.059,pip fruit,0.083,0.008,0.136,1.634
116,yogurt;whole milk,0.059,fruit/vegetable juice,0.079,0.008,0.136,1.716
117,yogurt;whole milk,0.059,whipped/sour cream,0.076,0.008,0.136,1.784
118,yogurt;whole milk,0.059,butter,0.059,0.008,0.136,2.298
119,canned beer,0.066,bottled water,0.127,0.009,0.136,1.074
120,rolls/buns;whole milk,0.066,pastry,0.100,0.009,0.136,1.364
121,rolls/buns;whole milk,0.066,newspapers,0.092,0.009,0.136,1.482
122,tropical fruit;whole milk,0.044,pastry,0.100,0.006,0.136,1.364
123,yogurt;other vegetables,0.044,citrus fruit,0.095,0.006,0.136,1.435
124,yogurt;other vegetables,0.044,newspapers,0.092,0.006,0.136,1.482
125,yogurt;other vegetables,0.044,fruit/vegetable juice,0.079,0.006,0.136,1.726
126,tropical fruit;whole milk,0.044,whipped/sour cream,0.076,0.006,0.136,1.794
127,tropical fruit;whole milk,0.044,curd,0.061,0.006,0.136,2.235
128,whole milk;root vegetables,0.051,bottled water,0.127,0.007,0.137,1.081
129,frozen vegetables,0.051,tropical fruit,0.118,0.007,0.137,1.163
130,chocolate,0.051,pastry,0.100,0.007,0.137,1.373
131,whole milk;root vegetables,0.051,citrus fruit,0.095,0.007,0.137,1.445
132,whole milk;root vegetables,0.051,pip fruit,0.083,0.007,0.137,1.654
133,whole milk;root vegetables,0.051,whipped/sour cream,0.076,0.007,0.137,1.806
134,whole milk;root vegetables,0.051,domestic eggs,0.070,0.007,0.137,1.961
135,whole milk;root vegetables,0.051,beef,0.057,0.007,0.137,2.408
136,other vegetables;whole milk,0.080,citrus fruit,0.095,0.011,0.137,1.447
137,other vegetables;whole milk,0.080,whipped/sour cream,0.076,0.011,0.137,1.809
138,other vegetables;whole milk,0.080,domestic eggs,0.070,0.011,0.137,1.964
139,sausage,0.109,root vegetables,0.122,0.015,0.138,1.128
140,hamburger meat,0.036,sausage,0.109,0.005,0.139,1.274
141,pastry;whole milk,0.036,sausage,0.109,0.005,0.139,1.274
142,whole milk;soda,0.043,sausage,0.109,0.006,0.140,1.280
143,waffles,0.042,root vegetables,0.122,0.006,0.143,1.171
144,domestic eggs,0.070,tropical fruit,0.118,0.010,0.143,1.211
145,other vegetables;tropical fruit,0.035,whipped/sour cream,0.076,0.005,0.143,1.880
146,frankfurter,0.069,root vegetables,0.122,0.010,0.145,1.188
147,yogurt,0.158,citrus fruit,0.095,0.023,0.146,1.532
148,other vegetables;root vegetables,0.048,whipped/sour cream,0.076,0.007,0.146,1.919
149,other vegetables;root vegetables,0.048,beef,0.057,0.007,0.146,2.558
150,long life bakery product,0.041,pastry,0.100,0.006,0.146,1.463
151,long life bakery product,0.041,fruit/vegetable juice,0.079,0.006,0.146,1.852
152,brown bread,0.075,tropical fruit,0.118,0.011,0.147,1.243
153,brown bread,0.075,sausage,0.109,0.011,0.147,1.346
154,other vegetables;soda,0.034,bottled water,0.127,0.005,0.147,1.158
155,bottled water;soda,0.034,tropical fruit,0.118,0.005,0.147,1.246
156,other vegetables;soda,0.034,shopping bags,0.116,0.005,0.147,1.268
157,bottled water;soda,0.034,fruit/vegetable juice,0.079,0.005,0.147,1.862
158,other vegetables;whole milk,0.080,pip fruit,0.083,0.012,0.150,1.807
159,onions,0.033,bottled water,0.127,0.005,0.152,1.193
160,rolls/buns;whole milk,0.066,bottled water,0.127,0.010,0.152,1.193
161,rolls/buns;whole milk,0.066,sausage,0.109,0.010,0.152,1.390
162,onions,0.033,citrus fruit,0.095,0.005,0.152,1.595
163,newspapers,0.092,bottled water,0.127,0.014,0.152,1.198
164,white bread,0.046,root vegetables,0.122,0.007,0.152,1.247
165,white bread,0.046,sausage,0.109,0.007,0.152,1.396
166,yogurt;whole milk,0.059,citrus fruit,0.095,0.009,0.153,1.606
167,yogurt;whole milk,0.059,curd,0.061,0.009,0.153,2.501
168,bottled water;whole milk,0.039,citrus fruit,0.095,0.006,0.154,1.619
169,bottled water;whole milk,0.039,bottled beer,0.085,0.006,0.154,1.810
170,rolls/buns;soda,0.045,bottled water,0.127,0.007,0.156,1.225
171,rolls/buns;soda,0.045,shopping bags,0.116,0.007,0.156,1.341
172,sausage;whole milk,0.032,tropical fruit,0.118,0.005,0.156,1.324
173,sausage;whole milk,0.032,pastry,0.100,0.005,0.156,1.563
174,citrus fruit;whole milk,0.032,domestic eggs,0.070,0.005,0.156,2.232
175,napkins,0.057,bottled water,0.127,0.009,0.158,1.243
176,citrus fruit,0.095,bottled water,0.127,0.015,0.158,1.243
177,napkins,0.057,root vegetables,0.122,0.009,0.158,1.294
178,beef,0.057,citrus fruit,0.095,0.009,0.158,1.662
179,whipped/sour cream,0.076,tropical fruit,0.118,0.012,0.158,1.338
180,yogurt;rolls/buns,0.038,sausage,0.109,0.006,0.158,1.449
181,yogurt;rolls/buns,0.038,citrus fruit,0.095,0.006,0.158,1.662
182,yogurt,0.158,bottled water,0.127,0.025,0.158,1.246
183,yogurt,0.158,root vegetables,0.122,0.025,0.158,1.297
184,other vegetables,0.221,tropical fruit,0.118,0.035,0.158,1.342
185,yogurt;other vegetables,0.044,bottled water,0.127,0.007,0.159,1.253
186,tropical fruit;whole milk,0.044,bottled water,0.127,0.007,0.159,1.253
187,yogurt;other vegetables,0.044,sausage,0.109,0.007,0.159,1.460
188,tropical fruit;whole milk,0.044,pip fruit,0.083,0.007,0.159,1.917
189,yogurt;other vegetables,0.044,pip fruit,0.083,0.007,0.159,1.917
190,tropical fruit,0.118,bottled water,0.127,0.019,0.161,1.268
191,butter milk,0.031,root vegetables,0.122,0.005,0.161,1.322
192,butter milk,0.031,tropical fruit,0.118,0.005,0.161,1.367
193,domestic eggs;whole milk,0.031,citrus fruit,0.095,0.005,0.161,1.698
194,whipped/sour cream;whole milk,0.031,curd,0.061,0.005,0.161,2.644
195,margarine,0.068,bottled water,0.127,0.011,0.162,1.274
196,margarine,0.068,root vegetables,0.122,0.011,0.162,1.326
197,sausage;rolls/buns,0.037,yogurt,0.158,0.006,0.162,1.026
198,whole milk;soda,0.043,root vegetables,0.122,0.007,0.163,1.334
199,whole milk;soda,0.043,tropical fruit,0.118,0.007,0.163,1.380
200,whole milk;soda,0.043,shopping bags,0.116,0.007,0.163,1.403
201,whole milk;soda,0.043,pastry,0.100,0.007,0.163,1.628
202,shopping bags,0.116,sausage,0.109,0.019,0.164,1.503
203,curd,0.061,tropical fruit,0.118,0.010,0.164,1.389
204,curd,0.061,whipped/sour cream,0.076,0.010,0.164,2.157
205,other vegetables;rolls/buns,0.048,bottled water,0.127,0.008,0.167,1.312
206,rolls/buns;whole milk,0.066,tropical fruit,0.118,0.011,0.167,1.412
207,other vegetables;root vegetables,0.048,citrus fruit,0.095,0.008,0.167,1.754
208,berries,0.036,root vegetables,0.122,0.006,0.167,1.366
209,hamburger meat,0.036,root vegetables,0.122,0.006,0.167,1.366
210,pastry;whole milk,0.036,tropical fruit,0.118,0.006,0.167,1.412
211,pip fruit,0.083,root vegetables,0.122,0.014,0.169,1.383
212,pip fruit,0.083,citrus fruit,0.095,0.014,0.169,1.776
213,yogurt;whole milk,0.059,bottled water,0.127,0.010,0.169,1.335
214,tropical fruit,0.118,root vegetables,0.122,0.020,0.169,1.389
215,oil,0.029,root vegetables,0.122,0.005,0.172,1.413
216,yogurt;tropical fruit,0.029,citrus fruit,0.095,0.005,0.172,1.815
217,whole milk,0.295,root vegetables,0.122,0.051,0.173,1.417
218,white bread,0.046,tropical fruit,0.118,0.008,0.174,1.474
219,white bread,0.046,shopping bags,0.116,0.008,0.174,1.499
220,other vegetables;whole milk,0.080,tropical fruit,0.118,0.014,0.175,1.483
221,other vegetables;soda,0.034,root vegetables,0.122,0.006,0.176,1.446
222,other vegetables;soda,0.034,tropical fruit,0.118,0.006,0.176,1.496
223,bottled water;soda,0.034,bottled beer,0.085,0.006,0.176,2.076
224,brown bread;whole milk,0.028,root vegetables,0.122,0.005,0.179,1.464
225,curd;whole milk,0.028,root vegetables,0.122,0.005,0.179,1.464
226,brown bread;whole milk,0.028,tropical fruit,0.118,0.005,0.179,1.513
227,curd;whole milk,0.028,whipped/sour cream,0.076,0.005,0.179,2.350
228,citrus fruit,0.095,root vegetables,0.122,0.017,0.179,1.467
229,bottled water;whole milk,0.039,root vegetables,0.122,0.007,0.179,1.471
230,bottled water;whole milk,0.039,tropical fruit,0.118,0.007,0.179,1.521
231,curd,0.061,root vegetables,0.122,0.011,0.180,1.478
232,newspapers;whole milk,0.033,root vegetables,0.122,0.006,0.182,1.490
233,rolls/buns;whole milk,0.066,root vegetables,0.122,0.012,0.182,1.490
234,tropical fruit;whole milk,0.044,citrus fruit,0.095,0.008,0.182,1.914
235,yogurt;other vegetables,0.044,whipped/sour cream,0.076,0.008,0.182,2.392
236,yogurt,0.158,tropical fruit,0.118,0.029,0.184,1.555
237,yogurt;rolls/buns,0.038,root vegetables,0.122,0.007,0.184,1.510
238,whipped/sour cream;other vegetables,0.027,tropical fruit,0.118,0.005,0.185,1.569
239,domestic eggs,0.070,root vegetables,0.122,0.013,0.186,1.522
240,whole milk;soda,0.043,bottled water,0.127,0.008,0.186,1.465
241,butter,0.059,root vegetables,0.122,0.011,0.186,1.528
242,other vegetables;rolls/buns,0.048,sausage,0.109,0.009,0.187,1.720
243,citrus fruit;whole milk,0.032,bottled water,0.127,0.006,0.188,1.476
244,sausage;whole milk,0.032,root vegetables,0.122,0.006,0.188,1.537
245,sausage;rolls/buns,0.037,shopping bags,0.116,0.007,0.189,1.631
246,fruit/vegetable juice,0.079,bottled water,0.127,0.015,0.190,1.495
247,domestic eggs;whole milk,0.031,yogurt,0.158,0.006,0.194,1.225
248,whipped/sour cream;whole milk,0.031,tropical fruit,0.118,0.006,0.194,1.640
249,pastry;whole milk,0.036,yogurt,0.158,0.007,0.194,1.231
250,frozen vegetables,0.051,root vegetables,0.122,0.010,0.196,1.607
251,whole milk;root vegetables,0.051,tropical fruit,0.118,0.010,0.196,1.662
252,pork,0.065,soda,0.195,0.013,0.200,1.026
253,rolls/buns;soda,0.045,yogurt,0.158,0.009,0.200,1.266
254,frozen meals,0.030,soda,0.195,0.006,0.200,1.026
255,uht-milk,0.040,bottled water,0.127,0.008,0.200,1.575
256,yogurt;whole milk,0.059,root vegetables,0.122,0.012,0.203,1.667
257,yogurt;other vegetables,0.044,tropical fruit,0.118,0.009,0.205,1.733
258,bottled water;whole milk,0.039,soda,0.195,0.008,0.205,1.052
259,other vegetables;soda,0.034,yogurt,0.158,0.007,0.206,1.303
260,bottled water;soda,0.034,yogurt,0.158,0.007,0.206,1.303
261,other vegetables;soda,0.034,sausage,0.109,0.007,0.206,1.889
262,yogurt;tropical fruit,0.029,soda,0.195,0.006,0.207,1.061
263,other vegetables;citrus fruit,0.029,yogurt,0.158,0.006,0.207,1.309
264,yogurt;tropical fruit,0.029,bottled water,0.127,0.006,0.207,1.629
265,yogurt;tropical fruit,0.029,root vegetables,0.122,0.006,0.207,1.696
266,yogurt;soda,0.029,tropical fruit,0.118,0.006,0.207,1.753
267,rolls/buns;bottled water,0.029,tropical fruit,0.118,0.006,0.207,1.753
268,shopping bags;soda,0.029,sausage,0.109,0.006,0.207,1.898
269,yogurt;soda,0.029,sausage,0.109,0.006,0.207,1.898
270,rolls/buns,0.216,soda,0.195,0.045,0.208,1.068
271,other vegetables;rolls/buns,0.048,soda,0.195,0.010,0.208,1.068
272,other vegetables;root vegetables,0.048,yogurt,0.158,0.010,0.208,1.319
273,newspapers;rolls/buns,0.024,yogurt,0.158,0.005,0.208,1.319
274,other vegetables;root vegetables,0.048,tropical fruit,0.118,0.010,0.208,1.766
275,whole milk;soda,0.043,yogurt,0.158,0.009,0.209,1.325
276,napkins,0.057,soda,0.195,0.012,0.211,1.080
277,yogurt;rolls/buns,0.038,bottled water,0.127,0.008,0.211,1.658
278,whipped/sour cream,0.076,root vegetables,0.122,0.016,0.211,1.726
279,yogurt;rolls/buns,0.038,tropical fruit,0.118,0.008,0.211,1.784
280,bottled beer,0.085,bottled water,0.127,0.018,0.212,1.667
281,newspapers;whole milk,0.033,yogurt,0.158,0.007,0.212,1.343
282,sausage;soda,0.028,yogurt,0.158,0.006,0.214,1.356
283,brown bread;whole milk,0.028,yogurt,0.158,0.006,0.214,1.356
284,curd;whole milk,0.028,tropical fruit,0.118,0.006,0.214,1.816
285,sausage;soda,0.028,shopping bags,0.116,0.006,0.214,1.847
286,pork,0.065,root vegetables,0.122,0.014,0.215,1.765
287,other vegetables,0.221,rolls/buns,0.216,0.048,0.217,1.006
288,other vegetables,0.221,root vegetables,0.122,0.048,0.217,1.780
289,pork;other vegetables,0.023,rolls/buns,0.216,0.005,0.217,1.006
290,white bread,0.046,soda,0.195,0.010,0.217,1.115
291,pastry;rolls/buns,0.023,yogurt,0.158,0.005,0.217,1.376
292,chicken,0.046,root vegetables,0.122,0.010,0.217,1.782
293,yogurt;citrus fruit,0.023,tropical fruit,0.118,0.005,0.217,1.842
294,citrus fruit;whole milk,0.032,rolls/buns,0.216,0.007,0.219,1.013
295,citrus fruit;whole milk,0.032,root vegetables,0.122,0.007,0.219,1.793
296,pastry,0.100,soda,0.195,0.022,0.220,1.128
297,tropical fruit,0.118,rolls/buns,0.216,0.026,0.220,1.020
298,yogurt;whole milk,0.059,tropical fruit,0.118,0.013,0.220,1.867
299,citrus fruit,0.095,tropical fruit,0.118,0.021,0.221,1.873
300,rolls/buns;soda,0.045,other vegetables,0.221,0.010,0.222,1.006
301,butter;whole milk,0.027,rolls/buns,0.216,0.006,0.222,1.029
302,whipped/sour cream;other vegetables,0.027,rolls/buns,0.216,0.006,0.222,1.029
303,butter;whole milk,0.027,root vegetables,0.122,0.006,0.222,1.821
304,other vegetables;sausage,0.027,root vegetables,0.122,0.006,0.222,1.821
305,other vegetables;sausage,0.027,shopping bags,0.116,0.006,0.222,1.916
306,shopping bags,0.116,other vegetables,0.221,0.026,0.224,1.014
307,uht-milk,0.040,other vegetables,0.221,0.009,0.225,1.018
308,other vegetables;whole milk,0.080,rolls/buns,0.216,0.018,0.225,1.042
309,uht-milk,0.040,soda,0.195,0.009,0.225,1.154
310,whipped/sour cream;whole milk,0.031,rolls/buns,0.216,0.007,0.226,1.045
311,whipped/sour cream;whole milk,0.031,root vegetables,0.122,0.007,0.226,1.851
312,domestic eggs;whole milk,0.031,root vegetables,0.122,0.007,0.226,1.851
313,pip fruit;whole milk,0.031,root vegetables,0.122,0.007,0.226,1.851
314,pip fruit;whole milk,0.031,tropical fruit,0.118,0.007,0.226,1.914
315,shopping bags;rolls/buns,0.022,other vegetables,0.221,0.005,0.227,1.028
316,other vegetables;domestic eggs,0.022,rolls/buns,0.216,0.005,0.227,1.052
317,other vegetables;pastry,0.022,rolls/buns,0.216,0.005,0.227,1.052
318,frankfurter;whole milk,0.022,yogurt,0.158,0.005,0.227,1.438
319,white wine,0.022,bottled water,0.127,0.005,0.227,1.790
320,tropical fruit;soda,0.022,bottled water,0.127,0.005,0.227,1.790
321,yogurt;other vegetables,0.044,root vegetables,0.122,0.010,0.227,1.863
322,tropical fruit;whole milk,0.044,root vegetables,0.122,0.010,0.227,1.863
323,hygiene articles,0.035,soda,0.195,0.008,0.229,1.172
324,other vegetables;tropical fruit,0.035,citrus fruit,0.095,0.008,0.229,2.406
325,other vegetables;tropical fruit,0.035,pip fruit,0.083,0.008,0.229,2.754
326,other vegetables;root vegetables,0.048,rolls/buns,0.216,0.011,0.229,1.061
327,other vegetables;rolls/buns,0.048,yogurt,0.158,0.011,0.229,1.450
328,other vegetables;rolls/buns,0.048,root vegetables,0.122,0.011,0.229,1.878
329,pastry,0.100,rolls/buns,0.216,0.023,0.230,1.065
330,salty snack,0.039,soda,0.195,0.009,0.231,1.183
331,tropical fruit;rolls/buns,0.026,other vegetables,0.221,0.006,0.231,1.044
332,hard cheese,0.026,rolls/buns,0.216,0.006,0.231,1.068
333,fruit/vegetable juice;whole milk,0.026,rolls/buns,0.216,0.006,0.231,1.068
334,margarine;whole milk,0.026,yogurt,0.158,0.006,0.231,1.461
335,tropical fruit;rolls/buns,0.026,bottled water,0.127,0.006,0.231,1.817
336,other vegetables;bottled water,0.026,root vegetables,0.122,0.006,0.231,1.892
337,shopping bags;other vegetables,0.026,root vegetables,0.122,0.006,0.231,1.892
338,pip fruit;other vegetables,0.026,root vegetables,0.122,0.006,0.231,1.892
339,shopping bags;other vegetables,0.026,sausage,0.109,0.006,0.231,2.117
340,frozen meals,0.030,other vegetables,0.221,0.007,0.233,1.056
341,margarine,0.068,rolls/buns,0.216,0.016,0.235,1.089
342,bottled beer,0.085,soda,0.195,0.020,0.235,1.207
343,chocolate,0.051,rolls/buns,0.216,0.012,0.235,1.089
344,whole milk;root vegetables,0.051,rolls/buns,0.216,0.012,0.235,1.089
345,whole milk;root vegetables,0.051,yogurt,0.158,0.012,0.235,1.489
346,yogurt;rolls/buns,0.038,soda,0.195,0.009,0.237,1.215
347,other vegetables;whole milk,0.080,yogurt,0.158,0.019,0.238,1.503
348,other vegetables;newspapers,0.021,rolls/buns,0.216,0.005,0.238,1.102
349,waffles,0.042,soda,0.195,0.010,0.238,1.221
350,citrus fruit;tropical fruit,0.021,yogurt,0.158,0.005,0.238,1.507
351,other vegetables;margarine,0.021,root vegetables,0.122,0.005,0.238,1.952
352,ice cream,0.025,soda,0.195,0.006,0.240,1.231
353,yogurt;bottled water,0.025,tropical fruit,0.118,0.006,0.240,2.034
354,yogurt;root vegetables,0.025,tropical fruit,0.118,0.006,0.240,2.034
355,sliced cheese,0.025,sausage,0.109,0.006,0.240,2.202
356,yogurt,0.158,rolls/buns,0.216,0.038,0.241,1.113
357,fruit/vegetable juice,0.079,soda,0.195,0.019,0.241,1.233
358,pip fruit,0.083,tropical fruit,0.118,0.020,0.241,2.042
359,yogurt;soda,0.029,other vegetables,0.221,0.007,0.241,1.092
360,shopping bags;soda,0.029,rolls/buns,0.216,0.007,0.241,1.117
361,rolls/buns;bottled water,0.029,soda,0.195,0.007,0.241,1.238
362,yogurt;soda,0.029,bottled water,0.127,0.007,0.241,1.901
363,newspapers;whole milk,0.033,other vegetables,0.221,0.008,0.242,1.097
364,candy,0.033,soda,0.195,0.008,0.242,1.243
365,rolls/buns;whole milk,0.066,yogurt,0.158,0.016,0.242,1.534
366,domestic eggs,0.070,rolls/buns,0.216,0.017,0.243,1.124
367,sausage;rolls/buns,0.037,other vegetables,0.221,0.009,0.243,1.101
368,long life bakery product,0.041,other vegetables,0.221,0.010,0.244,1.104
369,rolls/buns;soda,0.045,sausage,0.109,0.011,0.244,2.243
370,beef,0.057,rolls/buns,0.216,0.014,0.246,1.137
371,potted plants,0.020,other vegetables,0.221,0.005,0.250,1.131
372,sausage;soda,0.028,other vegetables,0.221,0.007,0.250,1.131
373,pastry;whole milk,0.036,other vegetables,0.221,0.009,0.250,1.131
374,hamburger meat,0.036,rolls/buns,0.216,0.009,0.250,1.157
375,ham,0.028,rolls/buns,0.216,0.007,0.250,1.157
376,pastry;whole milk,0.036,rolls/buns,0.216,0.009,0.250,1.157
377,beef;other vegetables,0.020,rolls/buns,0.216,0.005,0.250,1.157
378,yogurt;other vegetables,0.044,rolls/buns,0.216,0.011,0.250,1.157
379,tropical fruit;whole milk,0.044,rolls/buns,0.216,0.011,0.250,1.157
380,shopping bags,0.116,soda,0.195,0.029,0.250,1.282
381,sausage;whole milk,0.032,yogurt,0.158,0.008,0.250,1.582
382,other vegetables;whole milk,0.080,root vegetables,0.122,0.020,0.250,2.049
383,citrus fruit;whole milk,0.032,tropical fruit,0.118,0.008,0.250,2.119
