id,support,pattern
116,0.014,sausage;tropical fruit
117,0.014,canned beer;soda
118,0.014,hamburger meat;other vegetables
119,0.014,citrus fruit;pip fruit
120,0.014,tropical fruit;whipped/sour cream
121,0.014,cream cheese;other vegetables
122,0.014,fruit/vegetable juice;tropical fruit
123,0.014,other vegetables;white bread
124,0.014,dessert;whole milk
125,0.014,bottled beer;rolls/buns
126,0.014,beef;rolls/buns
127,0.014,pork;root vegetables
128,0.014,bottled water;citrus fruit
129,0.014,shopping bags;tropical fruit
130,0.014,chocolate;soda
131,0.014,long life bakery product;whole milk
132,0.013,butter;rolls/buns
133,0.013,coffee;other vegetables
134,0.013,pip fruit;soda
135,0.013,pastry;tropical fruit
136,0.013,butter;root vegetables
137,0.013,root vegetables;shopping bags
138,0.013,hygiene articles;whole milk
139,0.013,citrus fruit;soda
140,0.013,waffles;whole milk
141,0.013,chocolate;other vegetables
142,0.013,brown bread;rolls/buns
143,0.013,brown bread;soda
144,0.013,pastry;sausage
145,0.012,frozen vegetables;yogurt
146,0.012,domestic eggs;soda
147,0.012,cream cheese;yogurt
148,0.012,napkins;yogurt
149,0.012,onions;whole milk
150,0.012,bottled water;sausage
151,0.012,napkins;soda
152,0.012,fruit/vegetable juice;root vegetables
153,0.012,pastry;shopping bags
154,0.012,pork;soda
155,0.012,berries;whole milk
156,0.012,newspapers;tropical fruit
157,0.012,chocolate;rolls/buns
158,0.012,beef;yogurt
159,0.012,napkins;rolls/buns
160,0.012,butter milk;whole milk
161,0.012,frozen vegetables;root vegetables
162,0.012,soda;whipped/sour cream
163,0.012,dessert;other vegetables
164,0.011,newspapers;root vegetables
165,0.011,ham;whole milk
166,0.011,domestic eggs;tropical fruit
167,0.011,canned beer;shopping bags
168,0.011,citrus fruit;sausage
169,0.011,bottled water;newspapers
170,0.011,oil;whole milk
171,0.011,pork;rolls/buns
172,0.011,frankfurter;soda
173,0.011,canned beer;rolls/buns
174,0.011,frankfurter;yogurt
175,0.011,salty snack;whole milk
176,0.011,margarine;root vegetables
177,0.011,bottled water;shopping bags
178,0.011,coffee;rolls/buns
179,0.011,pastry;root vegetables
180,0.011,citrus fruit;whipped/sour cream
181,0.011,chicken;root vegetables
182,0.011,curd;root vegetables
183,0.011,pip fruit;sausage
184,0.011,other vegetables;salty snack
185,0.011,other vegetables;sugar
186,0.011,sliced cheese;whole milk
187,0.011,long life bakery product;other vegetables
188,0.011,brown bread;sausage
189,0.011,brown bread;tropical fruit
190,0.011,pastry;pip fruit
191,0.011,fruit/vegetable juice;shopping bags
192,0.011,berries;yogurt
193,0.011,bottled water;pip fruit
194,0.010,curd;whipped/sour cream
195,0.010,butter milk;other vegetables
196,0.010,citrus fruit;domestic eggs
197,0.010,citrus fruit;fruit/vegetable juice
198,0.010,bottled water;margarine
199,0.010,curd;tropical fruit
200,0.010,soda;white bread
201,0.010,berries;other vegetables
202,0.010,frozen vegetables;rolls/buns
203,0.010,brown bread;root vegetables
204,0.010,butter;whipped/sour cream
205,0.010,frankfurter;root vegetables
206,0.010,margarine;soda
207,0.010,other vegetables;waffles
208,0.010,curd;rolls/buns
209,0.010,hard cheese;whole milk
210,0.010,frankfurter;sausage
211,0.010,napkins;tropical fruit
212,0.010,fruit/vegetable juice;sausage
